method,seed,learn_step,learn_task,eval_task_index,eval_task,n,cpa_n,fde,risk_fde,train_seconds
finetune,11,7,ZS0,3,ZS2,1043,276,4.145412445068359,2.1397647857666016,100.84081819996936
finetune,11,7,ZS0,4,OF,568,28,5.529563426971436,5.759464263916016,100.84081819996936
finetune,11,7,ZS0,5,EP0,556,106,2.420499563217163,2.2894110679626465,100.84081819996936
finetune,11,7,ZS0,6,GL,3050,241,3.1725454330444336,3.17590856552124,100.84081819996936
finetune,11,7,ZS0,7,ZS0,1084,2,1.0418004989624023,1.7187577486038208,100.84081819996936
finetune,23,0,MA,0,MA,1178,126,3.104684829711914,2.707595109939575,73.18301610002527
finetune,23,1,FT,0,MA,1178,126,4.798670291900635,3.663799285888672,79.72789619996911
finetune,23,1,FT,1,FT,2452,138,2.7885100841522217,3.075119733810425,79.72789619996911
finetune,23,2,LN,0,MA,1178,126,5.727493762969971,4.8026204109191895,68.92901510000229
finetune,23,2,LN,1,FT,2452,138,3.60440444946289,3.332902193069458,68.92901510000229
finetune,23,2,LN,2,LN,238,6,2.4438586235046387,4.52538537979126,68.92901510000229
finetune,23,3,ZS2,0,MA,1178,126,4.783934116363525,4.023608207702637,70.78405989997555
finetune,23,3,ZS2,1,FT,2452,138,4.162217140197754,4.4951910972595215,70.78405989997555
finetune,23,3,ZS2,2,LN,238,6,3.780388355255127,5.327885150909424,70.78405989997555
finetune,23,3,ZS2,3,ZS2,1043,276,1.1117537021636963,1.113750457763672,70.78405989997555
finetune,23,4,OF,0,MA,1178,126,5.885403633117676,4.426016807556152,70.68470059998799
finetune,23,4,OF,1,FT,2452,138,4.666110038757324,5.439633369445801,70.68470059998799
finetune,23,4,OF,2,LN,238,6,4.1482648849487305,4.043270111083984,70.68470059998799
finetune,23,4,OF,3,ZS2,1043,276,3.6807379722595215,3.196476697921753,70.68470059998799
finetune,23,4,OF,4,OF,568,28,2.966773271560669,2.42890739440918,70.68470059998799
finetune,23,5,EP0,0,MA,1178,126,4.07502031326294,3.4326305389404297,69.2467711000354
finetune,23,5,EP0,1,FT,2452,138,3.3324694633483887,3.446707963943481,69.2467711000354
finetune,23,5,EP0,2,LN,238,6,2.5465667247772217,3.4853403568267822,69.2467711000354
finetune,23,5,EP0,3,ZS2,1043,276,2.143641233444214,1.4138349294662476,69.2467711000354
finetune,23,5,EP0,4,OF,568,28,4.158932685852051,4.1379075050354,69.2467711000354
finetune,23,5,EP0,5,EP0,556,106,1.6693099737167358,1.7973250150680542,69.2467711000354
finetune,23,6,GL,0,MA,1178,126,3.3643569946289062,2.9746673107147217,70.74262779997662
finetune,23,6,GL,1,FT,2452,138,3.652099609375,3.559102773666382,70.74262779997662
finetune,23,6,GL,2,LN,238,6,2.8826825618743896,3.4027538299560547,70.74262779997662
