method,seed,learn_step,learn_task,eval_task_index,eval_task,n,cpa_n,fde,risk_fde,train_seconds
gss_adapted,7,2,LN,0,MA,1178,126,2.604836940765381,2.6385598182678223,237.63007040001685
gss_adapted,7,2,LN,1,FT,2452,138,2.744328022003174,2.851008176803589,237.63007040001685
gss_adapted,7,2,LN,2,LN,238,6,1.8054372072219849,3.4507076740264893,237.63007040001685
gss_adapted,7,3,ZS2,0,MA,1178,126,2.54518723487854,2.613417148590088,220.925638900022
gss_adapted,7,3,ZS2,1,FT,2452,138,2.904137134552002,3.073539018630981,220.925638900022
gss_adapted,7,3,ZS2,2,LN,238,6,2.0021004676818848,3.877589464187622,220.925638900022
gss_adapted,7,3,ZS2,3,ZS2,1043,276,1.0946465730667114,1.0669182538986206,220.925638900022
gss_adapted,7,4,OF,0,MA,1178,126,2.517033338546753,2.406341552734375,190.7816910999827
gss_adapted,7,4,OF,1,FT,2452,138,2.457627058029175,2.6332836151123047,190.7816910999827
gss_adapted,7,4,OF,2,LN,238,6,2.164100408554077,3.344079732894897,190.7816910999827
gss_adapted,7,4,OF,3,ZS2,1043,276,1.2923529148101809,1.2217570543289185,190.7816910999827
gss_adapted,7,4,OF,4,OF,568,28,2.453876495361328,2.004436731338501,190.7816910999827
gss_adapted,7,5,EP0,0,MA,1178,126,2.9274086952209477,2.5836760997772217,198.9016686000396
gss_adapted,7,5,EP0,1,FT,2452,138,2.7499027252197266,2.998549222946167,198.9016686000396
gss_adapted,7,5,EP0,2,LN,238,6,2.5794677734375,3.896949052810669,198.9016686000396
gss_adapted,7,5,EP0,3,ZS2,1043,276,1.3565596342086792,1.3287599086761477,198.9016686000396
gss_adapted,7,5,EP0,4,OF,568,28,2.826870441436768,2.871675491333008,198.9016686000396
gss_adapted,7,5,EP0,5,EP0,556,106,1.7189823389053345,1.7345309257507324,198.9016686000396
gss_adapted,7,6,GL,0,MA,1178,126,2.4092142581939697,2.528416633605957,202.3535627000383
gss_adapted,7,6,GL,1,FT,2452,138,2.4353456497192383,2.520843982696533,202.3535627000383
gss_adapted,7,6,GL,2,LN,238,6,2.3734703063964844,2.945043563842773,202.3535627000383
gss_adapted,7,6,GL,3,ZS2,1043,276,1.4863276481628418,1.4295103549957275,202.3535627000383
gss_adapted,7,6,GL,4,OF,568,28,2.900953769683838,2.5752761363983154,202.3535627000383
gss_adapted,7,6,GL,5,EP0,556,106,1.7391834259033203,1.636901617050171,202.3535627000383
gss_adapted,7,6,GL,6,GL,3050,241,1.819849967956543,1.8106054067611692,202.3535627000383
gss_adapted,7,7,ZS0,0,MA,1178,126,2.565500020980835,2.542868137359619,150.9135038999957
gss_adapted,7,7,ZS0,1,FT,2452,138,2.478113889694214,2.668188095092773,150.9135038999957
gss_adapted,7,7,ZS0,2,LN,238,6,2.4637322425842285,3.429534673690796,150.9135038999957
gss_adapted,7,7,ZS0,3,ZS2,1043,276,1.5631420612335205,1.1347132921218872,150.9135038999957
gss_adapted,7,7,ZS0,4,OF,568,28,2.950141906738281,2.635932922363281,150.9135038999957
gss_adapted,7,7,ZS0,5,EP0,556,106,1.7835581302642822,1.7987515926361084,150.9135038999957
gss_adapted,7,7,ZS0,6,GL,3050,241,2.03623104095459,1.9685243368148804,150.9135038999957
gss_adapted,7,7,ZS0,7,ZS0,1084,2,1.0792137384414673,1.6789546012878418,150.9135038999957
gss_adapted,11,0,MA,0,MA,1178,126,2.532744884490967,2.373590469360352,111.03530729998602
gss_adapted,11,1,FT,0,MA,1178,126,2.7396552562713623,2.6035706996917725,201.13472919998455
gss_adapted,11,1,FT,1,FT,2452,138,2.6124260425567627,2.707334280014038,201.13472919998455
gss_adapted,11,2,LN,0,MA,1178,126,2.752922534942627,2.5038504600524902,151.52848019998055
gss_adapted,11,2,LN,1,FT,2452,138,2.5087320804595947,2.287391901016236,151.52848019998055
gss_adapted,11,2,LN,2,LN,238,6,1.8259704113006592,3.634474515914917,151.52848019998055
gss_adapted,11,3,ZS2,0,MA,1178,126,2.6634461879730225,2.401477575302124,146.9513879000442
gss_adapted,11,3,ZS2,1,FT,2452,138,2.6711249351501465,2.5419909954071045,146.9513879000442
gss_adapted,11,3,ZS2,2,LN,238,6,1.8941458463668823,3.2154366970062256,146.9513879000442
gss_adapted,11,3,ZS2,3,ZS2,1043,276,1.1418256759643557,1.1062650680541992,146.9513879000442
gss_adapted,11,4,OF,0,MA,1178,126,2.6732466220855717,2.29085111618042,148.88444140000502
gss_adapted,11,4,OF,1,FT,2452,138,2.694786071777344,2.707533359527588,148.88444140000502
gss_adapted,11,4,OF,2,LN,238,6,1.8426839113235476,3.625332593917847,148.88444140000502
gss_adapted,11,4,OF,3,ZS2,1043,276,1.1683320999145508,1.128097414970398,148.88444140000502
gss_adapted,11,4,OF,4,OF,568,28,2.532120943069458,2.3787972927093506,148.88444140000502
gss_adapted,11,5,EP0,0,MA,1178,126,2.755256175994873,2.732807874679565,146.12135410000337
gss_adapted,11,5,EP0,1,FT,2452,138,2.8258488178253174,2.6581406593322754,146.12135410000337
gss_adapted,11,5,EP0,2,LN,238,6,2.0976078510284424,3.53961443901062,146.12135410000337
gss_adapted,11,5,EP0,3,ZS2,1043,276,1.324389934539795,1.2910821437835691,146.12135410000337
gss_adapted,11,5,EP0,4,OF,568,28,2.7297170162200928,2.246098279953003,146.12135410000337
gss_adapted,11,5,EP0,5,EP0,556,106,1.65486478805542,1.7396780252456665,146.12135410000337
gss_adapted,11,6,GL,0,MA,1178,126,3.3228371143341064,2.988748073577881,145.15388050000183
gss_adapted,11,6,GL,1,FT,2452,138,3.398130416870117,3.12204647064209,145.15388050000183
gss_adapted,11,6,GL,2,LN,238,6,2.4904093742370605,2.9208028316497803,145.15388050000183
gss_adapted,11,6,GL,3,ZS2,1043,276,1.6201424598693848,1.2508963346481323,145.15388050000183
gss_adapted,11,6,GL,4,OF,568,28,3.1226115226745605,2.497858762741089,145.15388050000183
gss_adapted,11,6,GL,5,EP0,556,106,1.5997949838638306,1.5314961671829224,145.15388050000183
gss_adapted,11,6,GL,6,GL,3050,241,1.870238184928894,1.8139386177062988,145.15388050000183
gss_adapted,11,7,ZS0,0,MA,1178,126,3.652756690979004,3.04259991645813,143.8131625999813
gss_adapted,11,7,ZS0,1,FT,2452,138,3.401696920394897,3.021481275558472,143.8131625999813
gss_adapted,11,7,ZS0,2,LN,238,6,2.843413591384888,3.255587339401245,143.8131625999813
gss_adapted,11,7,ZS0,3,ZS2,1043,276,1.770959973335266,1.25514018535614,143.8131625999813
gss_adapted,11,7,ZS0,4,OF,568,28,3.1006462574005127,2.799344301223755,143.8131625999813
gss_adapted,11,7,ZS0,5,EP0,556,106,2.042170286178589,1.779763102531433,143.8131625999813
gss_adapted,11,7,ZS0,6,GL,3050,241,2.127342700958252,2.117298126220703,143.8131625999813
gss_adapted,11,7,ZS0,7,ZS0,1084,2,1.1371930837631226,1.6248971223831177,143.8131625999813
gss_adapted,23,0,MA,0,MA,1178,126,3.104684829711914,2.707595109939575,72.47371869999915
gss_adapted,23,1,FT,0,MA,1178,126,2.650158405303955,2.6761648654937744,147.39758689998416
gss_adapted,23,1,FT,1,FT,2452,138,3.2682933807373047,3.393759250640869,147.39758689998416
gss_adapted,23,2,LN,0,MA,1178,126,2.675396680831909,2.5603818893432617,152.07146619999548
gss_adapted,23,2,LN,1,FT,2452,138,2.753730535507202,2.769608736038208,152.07146619999548
gss_adapted,23,2,LN,2,LN,238,6,1.849248051643372,3.736369371414185,152.07146619999548
gss_adapted,23,3,ZS2,0,MA,1178,126,2.645334959030152,2.3896257877349854,147.4897503000102
gss_adapted,23,3,ZS2,1,FT,2452,138,2.625530958175659,2.59070897102356,147.4897503000102
gss_adapted,23,3,ZS2,2,LN,238,6,1.910818099975586,3.773246049880981,147.4897503000102
gss_adapted,23,3,ZS2,3,ZS2,1043,276,1.1594884395599363,1.14899742603302,147.4897503000102
gss_adapted,23,4,OF,0,MA,1178,126,2.8296988010406494,2.517596960067749,142.72419269999955
gss_adapted,23,4,OF,1,FT,2452,138,2.7472715377807617,2.9711296558380127,142.72419269999955
gss_adapted,23,4,OF,2,LN,238,6,2.197726011276245,3.4455442428588867,142.72419269999955
gss_adapted,23,4,OF,3,ZS2,1043,276,1.569766640663147,1.3680481910705566,142.72419269999955
gss_adapted,23,4,OF,4,OF,568,28,2.832620143890381,2.6084306240081787,142.72419269999955
gss_adapted,23,5,EP0,0,MA,1178,126,2.9258530139923096,2.608421087265014,140.3054638999747
gss_adapted,23,5,EP0,1,FT,2452,138,2.6028828620910645,2.5893590450286865,140.3054638999747
gss_adapted,23,5,EP0,2,LN,238,6,2.055183887481689,2.9675912857055664,140.3054638999747
gss_adapted,23,5,EP0,3,ZS2,1043,276,1.5393215417861938,1.4217984676361084,140.3054638999747
gss_adapted,23,5,EP0,4,OF,568,28,2.872910499572754,2.551130771636963,140.3054638999747
gss_adapted,23,5,EP0,5,EP0,556,106,1.7524322271347046,1.8686516284942627,140.3054638999747
gss_adapted,23,6,GL,0,MA,1178,126,2.9587173461914062,2.811909437179565,140.53121280000778
gss_adapted,23,6,GL,1,FT,2452,138,2.601036548614502,2.58654522895813,140.53121280000778
gss_adapted,23,6,GL,2,LN,238,6,2.0190885066986084,2.6706950664520264,140.53121280000778
gss_adapted,23,6,GL,3,ZS2,1043,276,1.36241352558136,1.28636372089386,140.53121280000778
gss_adapted,23,6,GL,4,OF,568,28,3.0253453254699707,2.7765963077545166,140.53121280000778
gss_adapted,23,6,GL,5,EP0,556,106,1.6524419784545898,1.6719833612442017,140.53121280000778
gss_adapted,23,6,GL,6,GL,3050,241,1.863382697105408,1.810129165649414,140.53121280000778
gss_adapted,23,7,ZS0,0,MA,1178,126,3.0507235527038574,2.9399406909942627,143.53083900001366
gss_adapted,23,7,ZS0,1,FT,2452,138,2.691340446472168,2.5835063457489014,143.53083900001366
gss_adapted,23,7,ZS0,2,LN,238,6,2.388007402420044,2.9555766582489014,143.53083900001366
gss_adapted,23,7,ZS0,3,ZS2,1043,276,1.3501498699188232,1.1419944763183594,143.53083900001366
gss_adapted,23,7,ZS0,4,OF,568,28,3.486524105072021,2.873481750488281,143.53083900001366
gss_adapted,23,7,ZS0,5,EP0,556,106,1.8081096410751345,1.7999461889266968,143.53083900001366
gss_adapted,23,7,ZS0,6,GL,3050,241,2.085034847259521,1.924819111824036,143.53083900001366
gss_adapted,23,7,ZS0,7,ZS0,1084,2,1.1440104246139526,0.9429209232330322,143.53083900001366
gss_adapted,47,0,MA,0,MA,1178,126,2.802724123001098,2.7466211318969727,65.88591830001678
gss_adapted,47,1,FT,0,MA,1178,126,2.314227104187012,2.381206750869751,119.88566919998266
gss_adapted,47,1,FT,1,FT,2452,138,2.607049465179444,2.524495840072632,119.88566919998266
gss_adapted,47,2,LN,0,MA,1178,126,2.7231030464172363,2.489459991455078,114.83978119998936
gss_adapted,47,2,LN,1,FT,2452,138,2.518887758255005,2.540492534637451,114.83978119998936
gss_adapted,47,2,LN,2,LN,238,6,1.7583461999893188,3.989722013473511,114.83978119998936
gss_adapted,47,3,ZS2,0,MA,1178,126,2.6405587196350098,2.4580495357513428,114.5945561999688
gss_adapted,47,3,ZS2,1,FT,2452,138,2.61102294921875,2.619157075881958,114.5945561999688
gss_adapted,47,3,ZS2,2,LN,238,6,2.0689871311187744,3.972659349441528,114.5945561999688
gss_adapted,47,3,ZS2,3,ZS2,1043,276,1.1346920728683472,1.0340713262557983,114.5945561999688
gss_adapted,47,4,OF,0,MA,1178,126,2.582331418991089,2.3916330337524414,88.5088262000354
gss_adapted,47,4,OF,1,FT,2452,138,2.6509130001068115,2.492579698562622,88.5088262000354
gss_adapted,47,4,OF,2,LN,238,6,2.040855646133423,3.757762908935547,88.5088262000354
gss_adapted,47,4,OF,3,ZS2,1043,276,1.2455617189407349,1.1070094108581543,88.5088262000354
gss_adapted,47,4,OF,4,OF,568,28,2.5548994541168213,1.9030276536941528,88.5088262000354
gss_adapted,47,5,EP0,0,MA,1178,126,2.475353956222534,2.332314968109131,89.52324070001487
gss_adapted,47,5,EP0,1,FT,2452,138,2.550974607467652,2.75081205368042,89.52324070001487
gss_adapted,47,5,EP0,2,LN,238,6,1.9768186807632449,3.792782068252564,89.52324070001487
gss_adapted,47,5,EP0,3,ZS2,1043,276,1.2706620693206787,1.1138771772384644,89.52324070001487
gss_adapted,47,5,EP0,4,OF,568,28,2.768845558166504,2.7305538654327397,89.52324070001487
gss_adapted,47,5,EP0,5,EP0,556,106,1.6512300968170166,1.7469501495361328,89.52324070001487
gss_adapted,47,6,GL,0,MA,1178,126,2.7675626277923584,2.4260144233703613,88.64330009999685
gss_adapted,47,6,GL,1,FT,2452,138,2.8727564811706543,3.0405941009521484,88.64330009999685
gss_adapted,47,6,GL,2,LN,238,6,2.215101718902588,3.26142954826355,88.64330009999685
gss_adapted,47,6,GL,3,ZS2,1043,276,1.9615771770477293,1.6555835008621216,88.64330009999685
gss_adapted,47,6,GL,4,OF,568,28,3.274130582809448,3.10139274597168,88.64330009999685
gss_adapted,47,6,GL,5,EP0,556,106,1.7070417404174805,1.6866440773010254,88.64330009999685
gss_adapted,47,6,GL,6,GL,3050,241,1.8088864088058472,1.7394700050354004,88.64330009999685
gss_adapted,47,7,ZS0,0,MA,1178,126,2.859704971313477,2.439272403717041,88.81225739995716
gss_adapted,47,7,ZS0,1,FT,2452,138,2.849394559860229,3.017741441726685,88.81225739995716
gss_adapted,47,7,ZS0,2,LN,238,6,2.524734735488892,3.652615547180176,88.81225739995716
gss_adapted,47,7,ZS0,3,ZS2,1043,276,2.125190496444702,1.4819087982177734,88.81225739995716
gss_adapted,47,7,ZS0,4,OF,568,28,3.18976092338562,2.965024471282959,88.81225739995716
gss_adapted,47,7,ZS0,5,EP0,556,106,1.825610637664795,2.0644187927246094,88.81225739995716
gss_adapted,47,7,ZS0,6,GL,3050,241,2.0889017581939697,2.0873255729675293,88.81225739995716
gss_adapted,47,7,ZS0,7,ZS0,1084,2,0.9952428340911864,1.2119615077972412,88.81225739995716
cgsm_dual,7,0,MA,0,MA,1178,126,2.5815088748931885,2.5621955394744877,115.92358559998684
cgsm_dual,7,1,FT,0,MA,1178,126,2.712644338607788,2.781259775161743,219.70678019995103
cgsm_dual,7,1,FT,1,FT,2452,138,2.5766727924346924,2.684539794921875,219.70678019995103
cgsm_dual,7,2,LN,0,MA,1178,126,2.4366161823272705,2.353179454803467,234.94671910000037
cgsm_dual,7,2,LN,1,FT,2452,138,2.4705605506896973,2.5710220336914062,234.94671910000037
cgsm_dual,7,2,LN,2,LN,238,6,1.716852784156799,3.458247184753418,234.94671910000037
cgsm_dual,7,3,ZS2,0,MA,1178,126,2.336371421813965,2.1753530502319336,220.95559150003828
cgsm_dual,7,3,ZS2,1,FT,2452,138,2.422330141067505,2.4401838779449463,220.95559150003828
cgsm_dual,7,3,ZS2,2,LN,238,6,1.866639256477356,3.655096054077149,220.95559150003828
cgsm_dual,7,3,ZS2,3,ZS2,1043,276,1.1234880685806274,1.112926959991455,220.95559150003828
cgsm_dual,7,4,OF,0,MA,1178,126,2.43202543258667,2.323479175567627,190.64230919996044
cgsm_dual,7,4,OF,1,FT,2452,138,2.656520128250122,2.6762771606445312,190.64230919996044
cgsm_dual,7,4,OF,2,LN,238,6,2.0766725540161133,3.2920897006988525,190.64230919996044
cgsm_dual,7,4,OF,3,ZS2,1043,276,1.2164371013641355,1.0475364923477173,190.64230919996044
cgsm_dual,7,4,OF,4,OF,568,28,2.515826940536499,1.9857044219970703,190.64230919996044
cgsm_dual,7,5,EP0,0,MA,1178,126,2.314816236495972,2.226245403289795,197.0009045000188
cgsm_dual,7,5,EP0,1,FT,2452,138,2.410536289215088,2.355149745941162,197.0009045000188
cgsm_dual,7,5,EP0,2,LN,238,6,1.8833715915679927,3.569443464279175,197.0009045000188
cgsm_dual,7,5,EP0,3,ZS2,1043,276,1.2441953420639038,1.105215072631836,197.0009045000188
cgsm_dual,7,5,EP0,4,OF,568,28,2.97851037979126,3.097832441329956,197.0009045000188
cgsm_dual,7,5,EP0,5,EP0,556,106,1.612067937850952,1.6715233325958252,197.0009045000188
cgsm_dual,7,6,GL,0,MA,1178,126,2.3489906787872314,2.280923128128052,201.67934580001747
cgsm_dual,7,6,GL,1,FT,2452,138,2.530961751937866,2.4215121269226074,201.67934580001747
cgsm_dual,7,6,GL,2,LN,238,6,2.008749485015869,3.406200170516968,201.67934580001747
cgsm_dual,7,6,GL,3,ZS2,1043,276,1.4030139446258545,1.121829628944397,201.67934580001747
cgsm_dual,7,6,GL,4,OF,568,28,3.2197515964508057,2.096730709075928,201.67934580001747
cgsm_dual,7,6,GL,5,EP0,556,106,1.6037402153015137,1.6522294282913208,201.67934580001747
cgsm_dual,7,6,GL,6,GL,3050,241,1.706696629524231,1.6975247859954834,201.67934580001747
cgsm_dual,7,7,ZS0,0,MA,1178,126,2.482033491134644,2.3921046257019043,150.8949340999825
cgsm_dual,7,7,ZS0,1,FT,2452,138,2.7046444416046143,2.5679807662963867,150.8949340999825
cgsm_dual,7,7,ZS0,2,LN,238,6,2.329139709472656,3.044843435287476,150.8949340999825
cgsm_dual,7,7,ZS0,3,ZS2,1043,276,1.6957441568374634,1.327162504196167,150.8949340999825
cgsm_dual,7,7,ZS0,4,OF,568,28,3.4081673622131348,2.6549572944641118,150.8949340999825
cgsm_dual,7,7,ZS0,5,EP0,556,106,1.6679465770721436,1.7494429349899292,150.8949340999825
cgsm_dual,7,7,ZS0,6,GL,3050,241,2.1006293296813965,2.027190685272217,150.8949340999825
cgsm_dual,7,7,ZS0,7,ZS0,1084,2,0.9992188215255736,1.1061925888061523,150.8949340999825
cgsm_dual,11,0,MA,0,MA,1178,126,2.532744884490967,2.373590469360352,73.03847150004003
cgsm_dual,11,1,FT,0,MA,1178,126,2.45508360862732,2.444164037704468,150.70088950003264
cgsm_dual,11,1,FT,1,FT,2452,138,2.567811250686645,2.719294786453247,150.70088950003264
cgsm_dual,11,2,LN,0,MA,1178,126,3.050713062286377,2.5022687911987305,146.2263702999917
cgsm_dual,11,2,LN,1,FT,2452,138,2.597796678543091,2.56611967086792,146.2263702999917
cgsm_dual,11,2,LN,2,LN,238,6,1.8493741750717163,3.665191888809204,146.2263702999917
cgsm_dual,11,3,ZS2,0,MA,1178,126,2.8849356174468994,2.522369384765625,146.312408400001
cgsm_dual,11,3,ZS2,1,FT,2452,138,2.7358949184417725,2.5899693965911865,146.312408400001
cgsm_dual,11,3,ZS2,2,LN,238,6,2.1213269233703613,3.967094421386719,146.312408400001
cgsm_dual,11,3,ZS2,3,ZS2,1043,276,1.116288423538208,1.091888427734375,146.312408400001
cgsm_dual,11,4,OF,0,MA,1178,126,2.773255586624145,2.51478123664856,147.160317700007
cgsm_dual,11,4,OF,1,FT,2452,138,2.7894623279571533,2.7145814895629883,147.160317700007
cgsm_dual,11,4,OF,2,LN,238,6,2.4000675678253174,4.047566890716553,147.160317700007
cgsm_dual,11,4,OF,3,ZS2,1043,276,1.6292166709899902,1.584216594696045,147.160317700007
cgsm_dual,11,4,OF,4,OF,568,28,2.894683122634888,2.2237536907196045,147.160317700007
cgsm_dual,11,5,EP0,0,MA,1178,126,3.282790184020996,3.129016399383545,142.86853300000075
cgsm_dual,11,5,EP0,1,FT,2452,138,2.903353691101074,2.684513092041016,142.86853300000075
cgsm_dual,11,5,EP0,2,LN,238,6,2.2303996086120605,4.20044469833374,142.86853300000075
cgsm_dual,11,5,EP0,3,ZS2,1043,276,1.480831742286682,1.1487648487091064,142.86853300000075
cgsm_dual,11,5,EP0,4,OF,568,28,2.9281322956085205,1.8817631006240845,142.86853300000075
cgsm_dual,11,5,EP0,5,EP0,556,106,1.5900189876556396,1.6334376335144043,142.86853300000075
cgsm_dual,11,6,GL,0,MA,1178,126,2.990022659301758,2.7303407192230225,152.2578370999545
cgsm_dual,11,6,GL,1,FT,2452,138,2.7273271083831787,2.596844434738159,152.2578370999545
cgsm_dual,11,6,GL,2,LN,238,6,2.4141781330108643,3.199578285217285,152.2578370999545
cgsm_dual,11,6,GL,3,ZS2,1043,276,2.0028553009033203,1.4272851943969729,152.2578370999545
cgsm_dual,11,6,GL,4,OF,568,28,3.1033923625946045,2.1703288555145264,152.2578370999545
cgsm_dual,11,6,GL,5,EP0,556,106,1.6121580600738523,1.6053305864334106,152.2578370999545
cgsm_dual,11,6,GL,6,GL,3050,241,1.7327487468719482,1.6657005548477173,152.2578370999545
cgsm_dual,11,7,ZS0,0,MA,1178,126,2.747457981109619,2.6612138748168945,146.91024509997806
cgsm_dual,11,7,ZS0,1,FT,2452,138,2.9033360481262207,2.6614911556243896,146.91024509997806
cgsm_dual,11,7,ZS0,2,LN,238,6,2.538266897201538,3.912927627563477,146.91024509997806
cgsm_dual,11,7,ZS0,3,ZS2,1043,276,2.056560039520264,1.4488742351531982,146.91024509997806
cgsm_dual,11,7,ZS0,4,OF,568,28,3.256767988204956,2.098864793777466,146.91024509997806
cgsm_dual,11,7,ZS0,5,EP0,556,106,1.6990514993667605,1.7722722291946411,146.91024509997806
cgsm_dual,11,7,ZS0,6,GL,3050,241,2.191128969192505,2.1208887100219727,146.91024509997806
cgsm_dual,11,7,ZS0,7,ZS0,1084,2,1.1387614011764526,1.9882586002349851,146.91024509997806
cgsm_dual,23,0,MA,0,MA,1178,126,3.104684829711914,2.707595109939575,70.10951740003657
cgsm_dual,23,1,FT,0,MA,1178,126,2.6744463443756104,2.5930380821228027,151.90955979999853
cgsm_dual,23,1,FT,1,FT,2452,138,2.767486810684204,2.764454126358032,151.90955979999853
cgsm_dual,23,2,LN,0,MA,1178,126,2.8059237003326416,2.5977892875671387,149.0248490999802
cgsm_dual,23,2,LN,1,FT,2452,138,3.016889810562134,2.935253143310547,149.0248490999802
cgsm_dual,23,2,LN,2,LN,238,6,2.0711545944213867,3.62765383720398,149.0248490999802
cgsm_dual,23,3,ZS2,0,MA,1178,126,3.0764222145080566,2.71936559677124,138.70503010001266
cgsm_dual,23,3,ZS2,1,FT,2452,138,2.772889375686645,2.5474469661712646,138.70503010001266
cgsm_dual,23,3,ZS2,2,LN,238,6,2.0376572608947754,3.491480827331543,138.70503010001266
cgsm_dual,23,3,ZS2,3,ZS2,1043,276,1.134902000427246,1.131789207458496,138.70503010001266
cgsm_dual,23,4,OF,0,MA,1178,126,3.094050645828247,2.8562166690826416,141.63129009999102
cgsm_dual,23,4,OF,1,FT,2452,138,2.802695751190185,2.69571304321289,141.63129009999102
cgsm_dual,23,4,OF,2,LN,238,6,1.863791346549988,3.2151927947998047,141.63129009999102
cgsm_dual,23,4,OF,3,ZS2,1043,276,1.3718783855438232,1.3201645612716677,141.63129009999102
cgsm_dual,23,4,OF,4,OF,568,28,2.67396879196167,2.346276998519897,141.63129009999102
cgsm_dual,23,5,EP0,0,MA,1178,126,2.9337751865386963,2.610090732574463,141.07101989997318
cgsm_dual,23,5,EP0,1,FT,2452,138,2.627851724624634,2.52885365486145,141.07101989997318
cgsm_dual,23,5,EP0,2,LN,238,6,1.9208635091781616,3.0988826751708984,141.07101989997318
cgsm_dual,23,5,EP0,3,ZS2,1043,276,1.566362977027893,1.471413016319275,141.07101989997318
cgsm_dual,23,5,EP0,4,OF,568,28,2.853634119033813,1.94998300075531,141.07101989997318
cgsm_dual,23,5,EP0,5,EP0,556,106,1.6731867790222168,1.795433759689331,141.07101989997318
cgsm_dual,23,6,GL,0,MA,1178,126,2.790663242340088,2.6894657611846924,141.3278174000443
cgsm_dual,23,6,GL,1,FT,2452,138,2.669020652770996,2.4176018238067627,141.3278174000443
cgsm_dual,23,6,GL,2,LN,238,6,2.195231914520264,3.1046597957611084,141.3278174000443
cgsm_dual,23,6,GL,3,ZS2,1043,276,1.5018315315246582,1.2264710664749146,141.3278174000443
cgsm_dual,23,6,GL,4,OF,568,28,3.1890103816986084,1.9738967418670652,141.3278174000443
cgsm_dual,23,6,GL,5,EP0,556,106,1.691528558731079,1.7467082738876345,141.3278174000443
cgsm_dual,23,6,GL,6,GL,3050,241,1.7791800498962402,1.7692729234695437,141.3278174000443
cgsm_dual,23,7,ZS0,0,MA,1178,126,2.713248014450073,2.6477081775665283,136.05896609998308
cgsm_dual,23,7,ZS0,1,FT,2452,138,2.944487333297729,2.763063669204712,136.05896609998308
cgsm_dual,23,7,ZS0,2,LN,238,6,2.305807113647461,3.1549947261810303,136.05896609998308
cgsm_dual,23,7,ZS0,3,ZS2,1043,276,1.548121452331543,1.1268230676651,136.05896609998308
cgsm_dual,23,7,ZS0,4,OF,568,28,3.128143787384033,2.337162733078003,136.05896609998308
cgsm_dual,23,7,ZS0,5,EP0,556,106,1.792261838912964,1.8087389469146729,136.05896609998308
cgsm_dual,23,7,ZS0,6,GL,3050,241,1.991127014160156,1.9138346910476685,136.05896609998308
cgsm_dual,23,7,ZS0,7,ZS0,1084,2,0.9975070357322692,1.635324478149414,136.05896609998308
cgsm_dual,47,0,MA,0,MA,1178,126,2.802724123001098,2.7466211318969727,66.45031119999476
cgsm_dual,47,1,FT,0,MA,1178,126,2.463966131210327,2.5821402072906494,116.82966410001973
cgsm_dual,47,1,FT,1,FT,2452,138,2.7102692127227783,2.5200355052948,116.82966410001973
cgsm_dual,47,2,LN,0,MA,1178,126,2.6418240070343018,2.43944787979126,114.8895300999866
cgsm_dual,47,2,LN,1,FT,2452,138,2.946084499359131,2.6018946170806885,114.8895300999866
cgsm_dual,47,2,LN,2,LN,238,6,1.7457411289215088,4.105403900146484,114.8895300999866
cgsm_dual,47,3,ZS2,0,MA,1178,126,2.5268497467041016,2.4887874126434326,112.4466245000367
cgsm_dual,47,3,ZS2,1,FT,2452,138,2.6904866695404053,2.4503424167633057,112.4466245000367
cgsm_dual,47,3,ZS2,2,LN,238,6,1.8415815830230715,3.750628709793091,112.4466245000367
cgsm_dual,47,3,ZS2,3,ZS2,1043,276,1.1112302541732788,1.0017635822296145,112.4466245000367
cgsm_dual,47,4,OF,0,MA,1178,126,2.4806604385375977,2.621593475341797,88.37134040001547
cgsm_dual,47,4,OF,1,FT,2452,138,2.51503586769104,2.8003158569335938,88.37134040001547
cgsm_dual,47,4,OF,2,LN,238,6,2.049654722213745,3.386021375656128,88.37134040001547
cgsm_dual,47,4,OF,3,ZS2,1043,276,1.2930328845977783,1.1737241744995115,88.37134040001547
cgsm_dual,47,4,OF,4,OF,568,28,2.580479621887207,2.126481771469116,88.37134040001547
cgsm_dual,47,5,EP0,0,MA,1178,126,2.560758590698242,2.487780332565308,89.53816649998771
cgsm_dual,47,5,EP0,1,FT,2452,138,2.6504311561584477,2.892914295196533,89.53816649998771
cgsm_dual,47,5,EP0,2,LN,238,6,2.276883363723755,3.376041412353516,89.53816649998771
cgsm_dual,47,5,EP0,3,ZS2,1043,276,1.49718177318573,1.474199652671814,89.53816649998771
cgsm_dual,47,5,EP0,4,OF,568,28,2.7527999877929688,2.1101670265197754,89.53816649998771
cgsm_dual,47,5,EP0,5,EP0,556,106,1.5994932651519775,1.6611801385879517,89.53816649998771
cgsm_dual,47,6,GL,0,MA,1178,126,2.5807130336761475,2.709285259246826,88.39668750000419
cgsm_dual,47,6,GL,1,FT,2452,138,2.5470216274261475,2.721738576889038,88.39668750000419
cgsm_dual,47,6,GL,2,LN,238,6,2.125360012054444,3.062227964401245,88.39668750000419
cgsm_dual,47,6,GL,3,ZS2,1043,276,1.400657296180725,1.298216462135315,88.39668750000419
cgsm_dual,47,6,GL,4,OF,568,28,2.991758346557617,2.390044450759888,88.39668750000419
cgsm_dual,47,6,GL,5,EP0,556,106,1.900860071182251,1.931148886680603,88.39668750000419
cgsm_dual,47,6,GL,6,GL,3050,241,2.004246950149536,1.9850932359695437,88.39668750000419
