method,metric,n_seeds,mean,sd,ci_low,ci_high
finetune,final_fde,4,3.564264079555869,0.1201349649120842,3.448485618457198,3.6588644832372665
finetune,final_cpa_fde,4,3.3794655483216047,0.10328673486828244,3.3026814945042133,3.468674572184682
finetune,ordinary_forgetting,4,1.7997206790106637,0.23949843715401858,1.5752482754843578,1.9595132214682442
finetune,cpa_forgetting,4,1.3812843071562904,0.2305854117842004,1.1604807866471154,1.5304731598922183
finetune,gap,4,-0.41843637185437355,0.01358304300778526,-0.42919289427144197,-0.407832682132721
reservoir,final_fde,4,2.119253160431981,0.04519118867605602,2.0738107040524483,2.1450377497822046
reservoir,final_cpa_fde,4,2.2770618088543415,0.09579785020299106,2.1923278868198395,2.353147204965353
reservoir,ordinary_forgetting,4,0.16482888800757278,0.09899887810927616,0.06724413377898077,0.23200400812285296
reservoir,cpa_forgetting,4,0.12531011445181714,0.14883709557295338,0.00809033427919668,0.24253823075975695
reservoir,gap,4,-0.03951877355575566,0.0915893575405725,-0.120739872966494,0.032407867056982814
gss_adapted,final_fde,4,2.2955704294145107,0.16387818000413273,2.16304500028491,2.4447637125849724
gss_adapted,final_cpa_fde,4,2.276126053184271,0.10698080047225542,2.1887283623218536,2.363523744046688
gss_adapted,ordinary_forgetting,4,0.3804253850664411,0.23685721032757576,0.19554607357297613,0.5719389787742071
gss_adapted,cpa_forgetting,4,0.11612358263560696,0.1925956940052804,-0.05881664582661226,0.25293463468551636
gss_adapted,gap,4,-0.2643018024308341,0.15148194032122198,-0.3884464246886117,-0.147455964769636
cgsm_dual,final_fde,4,2.206498084589839,0.07373348452237603,2.163307650014758,2.280672386288643
cgsm_dual,final_cpa_fde,4,2.203472848981619,0.09434513891639018,2.131201222538948,2.2931882552802563
cgsm_dual,ordinary_forgetting,4,0.30576663357870926,0.12157767979988285,0.2069553477423532,0.40457791941506527
cgsm_dual,cpa_forgetting,4,0.05326151422091893,0.10579324846302872,-0.028812357357570116,0.13920723114694866
cgsm_dual,gap,4,-0.2525051193577903,0.021976990696210914,-0.2708742022514344,-0.23576770509992329
