method,seed,task,historical,n,cpa_n,initial_fde,final_fde,initial_cpa_fde,final_cpa_fde,ordinary_forgetting,cpa_forgetting,gap
finetune,7,MA,True,1178,126,2.5815088748931885,4.8805131912231445,2.5621955394744877,3.8355460166931152,2.299004316329956,1.2733504772186275,-1.0256538391113286
finetune,7,FT,True,2452,138,2.81719970703125,4.193780899047852,2.9266061782836914,4.480501651763916,1.3765811920166016,1.5538954734802246,0.17731428146362305
finetune,7,LN,True,238,6,1.945441961288452,4.239777565002441,3.995539426803589,4.648622035980225,2.2943356037139893,0.6530826091766357,-1.6412529945373535
finetune,7,ZS2,True,1043,276,1.149548888206482,3.333387851715088,1.0705054998397827,1.779370903968811,2.183838963508606,0.7088654041290283,-1.4749735593795776
finetune,7,OF,True,568,28,2.967876672744751,5.739783763885498,1.8088243007659912,5.86688232421875,2.771907091140747,4.058058023452759,1.2861509323120117
finetune,7,EP0,True,556,106,1.5149585008621216,2.2313029766082764,1.672168254852295,2.4014370441436768,0.7163444757461548,0.7292687892913818,0.01292431354522705
finetune,7,GL,True,3050,241,1.8161498308181765,2.954612493515014,1.8433061838150024,2.790874719619751,1.1384626626968377,0.9475685358047485,-0.19089412689208918
finetune,7,ZS0,False,1084,2,1.027987718582153,1.027987718582153,1.3364540338516235,1.3364540338516235,0.0,0.0,0.0
finetune,11,MA,True,1178,126,2.532744884490967,5.0892839431762695,2.373590469360352,3.871718168258667,2.5565390586853027,1.498127698898315,-1.0584113597869877
finetune,11,FT,True,2452,138,2.5307986736297607,4.241931915283203,2.7044336795806885,4.315678119659424,1.7111332416534424,1.6112444400787354,-0.09988880157470703
finetune,11,LN,True,238,6,2.192984104156494,3.853135108947754,3.5076122283935547,4.889602184295654,1.6601510047912598,1.3819899559020996,-0.27816104888916016
finetune,11,ZS2,True,1043,276,1.1332796812057495,4.145412445068359,1.1382337808609009,2.1397647857666016,3.01213276386261,1.0015310049057007,-2.010601758956909
finetune,11,OF,True,568,28,2.527195930480957,5.529563426971436,2.059464454650879,5.759464263916016,3.0023674964904794,3.6999998092651367,0.6976323127746573
finetune,11,EP0,True,556,106,1.684051513671875,2.420499563217163,1.7899000644683838,2.2894110679626465,0.7364480495452881,0.4995110034942627,-0.2369370460510254
finetune,11,GL,True,3050,241,1.9895248413085935,3.1725454330444336,1.9594091176986692,3.17590856552124,1.18302059173584,1.2164994478225706,0.03347885608673051
finetune,11,ZS0,False,1084,2,1.0418004989624023,1.0418004989624023,1.7187577486038208,1.7187577486038208,0.0,0.0,0.0
finetune,23,MA,True,1178,126,3.104684829711914,4.623549938201904,2.707595109939575,3.665851831436157,1.5188651084899902,0.9582567214965816,-0.5606083869934086
finetune,23,FT,True,2452,138,2.7885100841522217,3.993705749511719,3.075119733810425,4.223348140716553,1.2051956653594975,1.148228406906128,-0.056967258453369585
finetune,23,LN,True,238,6,2.4438586235046387,3.591890573501587,4.52538537979126,3.791973114013672,1.1480319499969482,-0.7334122657775879,-1.8814442157745361
finetune,23,ZS2,True,1043,276,1.1117537021636963,2.950511932373047,1.113750457763672,1.6858080625534058,1.8387582302093506,0.5720576047897337,-1.266700625419617
finetune,23,OF,True,568,28,2.966773271560669,5.767907619476318,2.42890739440918,6.189361095428467,2.8011343479156494,3.7604537010192867,0.9593193531036373
finetune,23,EP0,True,556,106,1.6693099737167358,2.210325002670288,1.7973250150680542,2.230110883712769,0.5410150289535522,0.4327858686447148,-0.10822916030883745
finetune,23,GL,True,3050,241,1.9153759479522705,3.0408952236175537,1.869713544845581,3.0565905570983887,1.1255192756652832,1.1868770122528076,0.061357736587524414
finetune,23,ZS0,False,1084,2,1.0164179801940918,1.0164179801940918,1.4831886291503906,1.4831886291503906,0.0,0.0,0.0
finetune,47,MA,True,1178,126,2.802724123001098,4.994956970214844,2.7466211318969727,3.921848773956299,2.1922328472137456,1.1752276420593262,-1.0170052051544194
finetune,47,FT,True,2452,138,2.5089540481567383,4.190446376800537,2.553016901016236,4.203915596008301,1.6814923286437988,1.650898694992065,-0.030593633651733843
finetune,47,LN,True,238,6,1.5663762092590332,3.8710665702819824,3.455521821975708,4.170077800750732,2.304690361022949,0.7145559787750244,-1.5901343822479248
finetune,47,ZS2,True,1043,276,1.021071195602417,3.317470073699951,0.9652701020240784,1.7890154123306274,2.296398878097534,0.8237453103065491,-1.472653567790985
finetune,47,OF,True,568,28,2.510364055633545,5.9497833251953125,1.6815474033355713,6.302407741546631,3.4394192695617676,4.62086033821106,1.181441068649292
finetune,47,EP0,True,556,106,2.0127997398376465,2.355691432952881,1.8641552925109863,2.153003692626953,0.3428916931152344,0.2888484001159668,-0.05404329299926758
finetune,47,GL,True,3050,241,1.822553753852844,3.1368212699890137,1.79883873462677,3.042423248291016,1.3142675161361697,1.243584513664246,-0.0706830024719236
finetune,47,ZS0,False,1084,2,0.9496917128562928,0.9496917128562928,0.933979332447052,0.933979332447052,0.0,0.0,0.0
reservoir,7,MA,True,1178,126,2.5815088748931885,2.354299783706665,2.5621955394744877,2.718644380569458,-0.22720909118652344,0.15644884109497026,0.3836579322814937
reservoir,7,FT,True,2452,138,2.5081896781921387,2.630788564682007,2.703092098236084,2.842081308364868,0.12259888648986816,0.13898921012878418,0.016390323638916016
reservoir,7,LN,True,238,6,1.915805101394653,1.9293954372406008,3.685818672180176,3.00886607170105,0.01359033584594771,-0.676952600479126,-0.6905429363250737
