method,seed,final_fde,final_cpa_fde,ordinary_forgetting,cpa_forgetting,gap
finetune,7,3.5751433074474335,3.3924610912799835,1.8257820435932703,1.4177270446504866,-0.4080549989427839
finetune,11,3.6867715418338776,3.5200381129980087,1.9802560295377458,1.5584147657666887,-0.4218412637710574
finetune,23,3.3994005024433136,3.2907790392637253,1.4540742295128959,1.046463864190238,-0.4076103653226581
finetune,47,3.5957409664988518,3.3145839497447014,1.9387704133987427,1.5025315540177482,-0.43623885938099466
reservoir,7,2.051748439669609,2.263615593314171,0.18583469731467123,0.17718815803527832,-0.00864653927939293
reservoir,11,2.1474421471357346,2.382991075515747,0.24739377839224688,0.3078716312135969,0.06047785282134997
reservoir,23,2.137824557721615,2.3078050762414932,0.021444729396275015,-0.03035736083984362,-0.05180209023611864
reservoir,47,2.139997497200966,2.153835490345955,0.204642346927098,0.04653802939823699,-0.15810431752886103
gss_adapted,7,2.1149541288614273,2.2321834564208984,0.24398641926901674,0.10929182597569034,-0.1346945932933264
gss_adapted,11,2.5095224380493164,2.3620139211416245,0.6812564986092704,0.21673371110643655,-0.46452278750283377
gss_adapted,23,2.2504875361919403,2.145273268222809,0.14710572787693552,-0.1506667648042952,-0.2977724926812307
gss_adapted,47,2.307317614555359,2.3650335669517517,0.4493528945105417,0.28913555826459614,-0.16021733624594559
cgsm_dual,7,2.1734404861927032,2.108734354376793,0.3650272914341518,0.08443146092551101,-0.28059583050864084
cgsm_dual,11,2.3164163529872894,2.333098903298378,0.4441285473959788,0.18623931067330496,-0.2578892367226738
cgsm_dual,23,2.1775879487395287,2.173456311225891,0.17409038543701158,-0.055735707283019985,-0.22982609272003157
cgsm_dual,47,2.1585475504398346,2.1986018270254135,0.23982031004769477,-0.0018890074321202504,-0.24170931747981503
