method,seed,threshold,overall,cpa,matched,cpa_minus_overall,cpa_minus_matched
reservoir,71,1.0,0.8093040937140584,0.9190221222014779,0.7803262621133858,0.10971802848741954,0.1386958600880921
reservoir,71,1.5,0.8093040937140584,0.875652555356562,0.7965401440643214,0.06634846164250353,0.07911241129224053
reservoir,71,2.0,0.8093040937140584,0.7986409219427332,0.7918766814534163,-0.010663171771325275,0.0067642404893169085
reservoir,89,0.5,0.1382148812919855,0.5937929066711485,0.06035613082216971,0.455578025379163,0.5334367758489789
reservoir,89,1.0,0.1382148812919855,0.442507588772408,0.10546334825811983,0.3042927074804224,0.3370442405142881
reservoir,89,1.5,0.1382148812919855,0.3019891570194423,0.11467922129702113,0.1637742757274568,0.18730993572242116
reservoir,89,2.0,0.1382148812919855,0.20675523612312113,0.10777552212379889,0.0685403548311356,0.09897971399932223
reservoir,107,0.5,-0.26425327732414006,0.011778569991653188,-0.35242957144677073,0.2760318473157932,0.3642081414384239
reservoir,107,1.0,-0.26425327732414006,-0.1315109619202429,-0.29986312060969866,0.1327423154038972,0.16835215868945577
reservoir,107,1.5,-0.26425327732414006,-0.19995373980172704,-0.28211637142717383,0.06429953752241302,0.08216263162544676
reservoir,107,2.0,-0.26425327732414006,-0.24595583370248772,-0.2846610422436592,0.018297443621652337,0.038705208541171474
