method,seed,stratum_name,overall,stratum,matched,stratum_minus_overall,stratum_minus_matched,cpa_matched,stratum_minus_cpa_matched
cgsm_dual,7,new_0_3s,-0.2906296587258578,0.0738244061018882,-0.24899881090005632,0.36445406482774595,0.3228232170019445,-0.2128710555862904,0.2866954616881786
cgsm_dual,7,new_3_5s,-0.2906296587258578,-0.0674219148048572,-0.2464464735441882,0.2232077439210005,0.17902455873933104,-0.2204629983483704,0.15304108354351317
cgsm_dual,7,new_5_10s,-0.2906296587258578,-0.014742758437085113,-0.25454105558145323,0.2758869002887726,0.2397982971443681,-0.19055840733362578,0.17581564889654064
cgsm_dual,7,no_entry_10s,-0.2906296587258578,-0.2780849309314387,-0.2693983077626926,0.012544727794419026,-0.008686623168746094,,
cgsm_dual,7,ongoing,-0.2906296587258578,-0.41903245321519333,-0.3456965093132195,-0.12840279448933564,-0.07333594390197382,-0.3301162995996861,-0.08891615361550724
cgsm_dual,7,within_10s,-0.2906296587258578,-0.2938516795045819,-0.31864331840024673,-0.003222020778724172,0.024791638895664842,,
cgsm_dual,7,within_3s,-0.2906296587258578,-0.3574705067934831,-0.3349533957462826,-0.06684084806762536,-0.022517111047200507,,
cgsm_dual,7,within_5s,-0.2906296587258578,-0.33787192644213065,-0.3289113157812934,-0.04724226771627292,-0.008960610660837259,,
cgsm_dual,11,new_0_3s,-0.29844335717856885,0.08651883055258067,-0.2527755321585601,0.3849621877311495,0.3392943627111408,-0.2998054828970358,0.3863243134496165
cgsm_dual,11,new_3_5s,-0.29844335717856885,0.0322244469654452,-0.2759383066052818,0.330667804144014,0.3081627535707269,-0.31699188469130263,0.34921633165674787
cgsm_dual,11,new_5_10s,-0.29844335717856885,0.12065855035841977,-0.20627334912230158,0.4191019075369886,0.3269318994807213,-0.21877856537008883,0.33943711572850865
cgsm_dual,11,no_entry_10s,-0.29844335717856885,-0.19804517067862862,-0.2702856568946806,0.10039818649994019,0.07224048621605197,,
cgsm_dual,11,ongoing,-0.29844335717856885,-0.6030962157725159,-0.3728906288330943,-0.304652858593947,-0.23020558693942156,-0.44922061032101235,-0.1538756054515035
cgsm_dual,11,within_10s,-0.29844335717856885,-0.39435616561671283,-0.3322208279802969,-0.09591280843814401,-0.06213533763641597,,
cgsm_dual,11,within_3s,-0.29844335717856885,-0.5140628845726891,-0.3576202706162162,-0.21561952739412024,-0.15644261395647288,,
