method,metric,mean,ci_low,ci_high
finetune,initial_fnr,0.02029590781674331,0.01979255760122215,0.020647633856161328
finetune,final_fnr,0.031191005319208643,0.02822908891361544,0.034540130273784414
finetune,delta_fnr,0.010895097502465331,0.007839385038752191,0.014225978438865649
finetune,initial_fpr,0.023468537797312145,0.022773632262713586,0.024067772173287347
finetune,final_fpr,0.04647017215324949,0.0437802166065694,0.049176104175079026
finetune,delta_fpr,0.023001634355937342,0.019860523721764063,0.026142897378142033
reservoir,initial_fnr,0.01979719770114058,0.01922358127961879,0.020382629367489195
reservoir,final_fnr,0.02100331203548831,0.02041000685874935,0.02154277411103725
reservoir,delta_fnr,0.0012061143343477317,0.00062383507314795,0.001883701208894155
reservoir,initial_fpr,0.023407514188854887,0.022795404684237484,0.02408241789283571
reservoir,final_fpr,0.023768685021960567,0.022817223147390597,0.024634431127847443
reservoir,delta_fpr,0.00036117083310567945,-0.0004143216691267479,0.001290384050145084
gss_adapted,initial_fnr,0.01993988687130359,0.019546555314879713,0.020304621544586614
gss_adapted,final_fnr,0.020571134820108895,0.019429242019493018,0.021870010004238893
gss_adapted,delta_fnr,0.0006312479488053081,-0.0005780555758201054,0.0019304741902334455
gss_adapted,initial_fpr,0.024062792754016127,0.023147854027815384,0.025044851995835924
gss_adapted,final_fpr,0.02317205422638563,0.022690001750325747,0.023663050520040946
gss_adapted,delta_fpr,-0.0008907385276304972,-0.0018291947890655522,3.2541391889917726e-05
cgsm_dual,initial_fnr,0.019666307230458754,0.01887585160521159,0.020599199698964846
cgsm_dual,final_fnr,0.020784044442230122,0.01984740178404884,0.021698884230199403
cgsm_dual,delta_fnr,0.0011177372117713697,-0.00017823211646568802,0.0023017653597230577
cgsm_dual,initial_fpr,0.02406621186762639,0.023357299967189635,0.02492882953133303
cgsm_dual,final_fpr,0.02407743257433563,0.023512525150249215,0.024651178101125965
cgsm_dual,delta_fpr,1.1220706709239134e-05,-0.001229608753268176,0.0009434311938432461
dualls_adapted,initial_fnr,0.019729149214004295,0.019299640006481253,0.02020991162995709
dualls_adapted,final_fnr,0.020330005821479855,0.019576657895569397,0.021191787930024707
dualls_adapted,delta_fnr,0.0006008566074755601,-0.0002820281225646349,0.0014914497954051798
dualls_adapted,initial_fpr,0.02318058148060808,0.022595760290004326,0.02376386268840762
dualls_adapted,final_fpr,0.023048042591337015,0.022190715675741768,0.023826469992791782
dualls_adapted,delta_fpr,-0.00013253888927106314,-0.0008121490711464441,0.00046201443437641137
