method,seed,initial_fnr,final_fnr,delta_fnr,initial_fpr,final_fpr,delta_fpr
cgsm_dual,7,0.018064398003538148,0.018801612992479108,0.0007372149889409586,0.024492608253921213,0.02324029664096171,-0.0012523116129595023
cgsm_dual,11,0.022029425513031674,0.019529041390297448,-0.0025003841227342273,0.02279424887703611,0.02354898816467287,0.000754739287636759
cgsm_dual,23,0.018742668471035784,0.022431492350695702,0.0036888238796599195,0.023853126390558237,0.024154331209835345,0.000301204819277108
cgsm_dual,47,0.019435820846538592,0.01937005614636437,-6.576470017422912e-05,0.026671447348412185,0.02280582269359206,-0.0038656246548201267
cgsm_dual,59,0.01906119478658147,0.021509584479709364,0.0024483896931278915,0.024253175021900573,0.025451661300088597,0.0011984862781880255
cgsm_dual,71,0.019098977965168757,0.022000259873476424,0.0029012819083076694,0.024140511506480892,0.024952475721201274,0.0008119642147203825
cgsm_dual,89,0.021407254789945474,0.022177020939353614,0.0007697661494081416,0.022746463405705276,0.023938157136921955,0.001191693731216675
cgsm_dual,107,0.01949071746783012,0.020453287365464957,0.0009625698976348327,0.02357811413699664,0.02452772772741123,0.0009496135904145921
dualls_adapted,7,0.019729800298316308,0.01888110561444565,-0.0008486946838706603,0.023283701864690882,0.023913917322525187,0.000630215457834308
dualls_adapted,11,0.02112700325996007,0.019860788954784724,-0.0012662143051753439,0.023462976763019637,0.021537097468424003,-0.001925879294595634
dualls_adapted,23,0.019438714760477527,0.01945127363017925,1.2558869701726622e-05,0.023126192922201572,0.023404311632595553,0.00027811871039398197
dualls_adapted,47,0.019723520863465446,0.01962797728140314,-9.554358206230462e-05,0.02455437984117768,0.023581973277359728,-0.0009724065638179548
dualls_adapted,59,0.01873351018812371,0.019970558853743804,0.0012370486656200952,0.024123298848467232,0.024753514306301537,0.0006302154578343065
dualls_adapted,71,0.020150705440532928,0.021897276082218937,0.0017465706416860088,0.022565695304108718,0.022911459052628636,0.00034576374851991653
dualls_adapted,89,0.019804689210373295,0.022558433107012325,0.0027537438966390303,0.02171930577336102,0.020836303565855502,-0.0008830022075055177
dualls_adapted,107,0.019125249690785075,0.020392633048051008,0.001267383357265929,0.022609100527837888,0.023445764105005977,0.0008366635771680884
finetune,7,0.020580228121781577,0.02685915778940908,0.006278929667627509,0.024847298910215636,0.040902405608442514,0.016055106698226882
finetune,11,0.02036285416616293,0.04039565304827241,0.02003279888210948,0.0233004549746536,0.05281973204879507,0.029519277074141474
finetune,23,0.02011698522797516,0.03314160967918607,0.01302462445121091,0.021486205540260782,0.05037550729212037,0.028889301751859588
finetune,47,0.018714671883571118,0.027849070173014984,0.009134398289443865,0.023913917322525187,0.04568051862894114,0.021766601306415945
finetune,59,0.020515004165487388,0.03298487497510365,0.01246987080961626,0.024095666079411264,0.04830649214250191,0.024210826063090645
finetune,71,0.020875917369529918,0.02809099778053306,0.007215080411003144,0.02324029664096171,0.04465917288827871,0.021418876247316997
finetune,89,0.020385184561109555,0.03455135644465383,0.01416617188354428,0.022844847669719566,0.04777334632177887,0.024928498652059306
finetune,107,0.020816417038328833,0.025655322663496037,0.004838905625167203,0.024019615240749397,0.04124420229513732,0.017224587054387917
gss_adapted,7,0.01913440797369715,0.01976352051087408,0.000629112537176927,0.024352311969445564,0.022877320234428136,-0.001474991735017426
gss_adapted,11,0.020704266686413005,0.019729800298316308,-0.000974466388096697,0.021691959502131868,0.02302296886253468,0.0013310093604028098
gss_adapted,23,0.019760134989962146,0.020100378458121633,0.00034024346815949116,0.022970124183052717,0.02313707258129482,0.00016694839824210259
gss_adapted,47,0.020115260366126812,0.0178190357382011,-0.0022962246279257126,0.026828956290901495,0.023662111228143497,-0.003166845062757999
gss_adapted,59,0.01906119478658147,0.020877593094471226,0.0018163983078897529,0.024109479145112776,0.023854792644050164,-0.00025468650106261236
gss_adapted,71,0.020191874140032144,0.024406311815014514,0.004214437674982372,0.024216102797091812,0.02247093860416539,-0.0017451641929264207
gss_adapted,89,0.02005122052780093,0.020357743783402653,0.00030652325560172404,0.023855079141876984,0.02202995004839092,-0.001825129093486064
gss_adapted,107,0.020500735499815036,0.021514694862469645,0.0010139593626546078,0.024478329002515814,0.02432127960807745,-0.00015704939443836747
reservoir,7,0.018405810523788223,0.021507908754768056,0.003102098230979831,0.024359798673879614,0.02501131390184948,0.0006515152279698664
reservoir,11,0.021019407481046762,0.02194371087086757,0.0009243033898208078,0.02369855085467719,0.023603273047495286,-9.527780718190174e-05
reservoir,23,0.020345184913700926,0.021175620446400735,0.0008304355326998105,0.022356140727942553,0.025384016261962666,0.003027875534020111
reservoir,47,0.019089804616378964,0.021188164250224746,0.0020983596338457824,0.025166228935484692,0.024766180304142356,-0.00040004863134233753
reservoir,59,0.019546154833001695,0.01951700425932416,-2.915057367753153e-05,0.023068967995117946,0.023064880882996044,-4.08711212190084e-06
reservoir,71,0.020917086069029135,0.022039752848034333,0.0011226667790052002,0.02324029664096171,0.022263744438953847,-0.0009765522020078632
reservoir,89,0.019428387425474862,0.020505339209724593,0.0010769517842497268,0.02314121821948473,0.02457763900028493,0.001436420780800199
reservoir,107,0.019625745746704074,0.020148995644562302,0.0005232498978582259,0.022228911463290653,0.02147843233799992,-0.0007504791252907373
