method,seed,learn_step,ordinary,cpa
cgsm_dual,7,1,0.1311354637145996,0.21906423568725497
cgsm_dual,7,2,-0.12550246715545654,-0.16126692295074507
cgsm_dual,7,3,-0.0832312107086181,-0.1447831789652508
cgsm_dual,7,4,0.09578317403793335,-0.11963173747062705
cgsm_dual,7,5,0.06341607570648207,0.11005444526672345
cgsm_dual,7,6,0.16479837894439706,-0.08261867364247633
cgsm_dual,7,7,0.36502729143415186,0.08443146092551101
cgsm_dual,11,1,-0.07766127586364702,0.07057356834411621
cgsm_dual,11,2,0.27397680282592796,-0.012248396873474343
cgsm_dual,11,3,0.26407571633656834,0.10711868604024251
cgsm_dual,11,4,0.38144585490226746,0.25279515981674194
cgsm_dual,11,5,0.3729211330413818,0.19415657520294188
cgsm_dual,11,6,0.3831687966982524,0.00375852982203162
cgsm_dual,11,7,0.4441285473959788,0.18623931067330496
cgsm_dual,23,1,-0.4302384853363037,-0.11455702781677246
cgsm_dual,23,2,-0.024679064750671387,0.030496597290039285
cgsm_dual,23,3,-0.018785794576009263,-0.11380322774251317
cgsm_dual,23,4,0.013546973466873113,-0.03605130314826971
cgsm_dual,23,5,0.03005809783935538,-0.18370923995971672
cgsm_dual,23,6,0.10198374589284269,-0.2023999293645223
cgsm_dual,23,7,0.17409038543701158,-0.055735707283019985
cgsm_dual,47,1,-0.33875799179077104,-0.16448092460632324
cgsm_dual,47,2,0.037457585334778054,-0.11265707015991189
cgsm_dual,47,3,-0.06660548845926899,-0.22743399937947592
cgsm_dual,47,4,-0.007895201444625743,-0.09804230928421032
cgsm_dual,47,5,0.15752210617065457,-0.031840634346008166
cgsm_dual,47,6,0.1660721302032472,-0.008137404918670618
cgsm_dual,47,7,0.23982031004769483,-0.001889007432120282
finetune,7,1,2.1183836460113525,1.0932290554046622
finetune,7,2,1.7755868434906004,0.9836230278015132
finetune,7,3,2.0448609987894693,1.6517549355824785
finetune,7,4,1.6938414871692657,0.9559539258480073
finetune,7,5,1.486085104942322,0.9425263881683348
finetune,7,6,1.5446428457895915,1.1658681432406106
finetune,7,7,1.8257820435932703,1.4177270446504866
finetune,11,1,1.9685382843017578,1.0680649280548091
finetune,11,2,2.5368399620056152,1.470989942550659
finetune,11,3,2.287611405054728,1.831042210261027
finetune,11,4,1.545921176671982,1.0631218254566193
finetune,11,5,1.9754663705825806,1.2397050142288206
finetune,11,6,1.116770366827647,1.016126751899719
finetune,11,7,1.980256029537746,1.5584147657666887
finetune,23,1,1.6939854621887207,0.9562041759490967
finetune,23,2,1.7193516492843626,1.1764038801193237
finetune,23,3,1.4631620248158772,1.1795280774434407
finetune,23,4,2.2329273223876953,1.4208865761756897
finetune,23,5,0.7682099819183351,0.4131326436996458
finetune,23,6,1.0119966467221577,0.5286324222882588
finetune,23,7,1.4540742295128959,1.0464638641902377
finetune,47,1,1.4813659191131596,0.8537976741790771
finetune,47,2,1.8101857900619511,1.126644968986511
finetune,47,3,1.9687512715657551,1.539323886235555
finetune,47,4,1.3837157487869263,0.8320698887109756
finetune,47,5,2.8156332969665527,1.6386053919792176
finetune,47,6,1.2139862179756167,0.8183519542217255
finetune,47,7,1.9387704133987427,1.5025315540177482
gss_adapted,7,1,0.0813617706298837,0.07979869842529208
gss_adapted,7,2,0.05472159385681152,0.07164835929870539
gss_adapted,7,3,0.13542195161183676,0.25585556030273376
gss_adapted,7,4,0.07282704114913946,-0.06460881233215376
gss_adapted,7,5,0.3693054437637332,0.3622551679611204
gss_adapted,7,6,0.1719717780749003,0.005521237850188913
gss_adapted,7,7,0.24398641926901674,0.10929182597569034
gss_adapted,11,1,0.2069103717803955,0.22998023033142045
gss_adapted,11,2,0.058241844177246094,-0.14484119415283203
gss_adapted,11,3,0.08585854371388753,-0.18549799919128432
gss_adapted,11,4,0.0665204226970677,-0.017462462186813354
gss_adapted,11,5,0.21754636764526364,0.05345635414123513
gss_adapted,11,6,0.5423288544019064,0.06195149819056186
gss_adapted,11,7,0.6812564986092704,0.21673371110643655
gss_adapted,23,1,-0.454526424407959,-0.03143024444580078
gss_adapted,23,2,-0.4719254970550537,-0.3856818675994873
gss_adapted,23,3,-0.34684741497039795,-0.361380974451701
gss_adapted,23,4,-0.009312927722930964,-0.17110052704811107
gss_adapted,23,5,-0.04363660812377943,-0.29137022495269793
gss_adapted,23,6,-0.057953973611195884,-0.2766183813412985
gss_adapted,23,7,0.14710572787693552,-0.1506667648042952
gss_adapted,47,1,-0.488497018814086,-0.3654143810272217
gss_adapted,47,2,-0.08389139175415039,-0.1205822229385376
gss_adapted,47,3,0.05081633726755778,-0.07032434145609567
gss_adapted,47,4,0.054212480783462524,-0.13648131489753734
gss_adapted,47,5,0.03698871135711683,0.10448043346405048
gss_adapted,47,6,0.381538152694702,0.20446171363194784
gss_adapted,47,7,0.4493528945105417,0.28913555826459614
reservoir,7,1,-0.0438995361328125,0.15803694725036488
reservoir,7,2,0.11796295642852783,-0.03906619548797652
reservoir,7,3,0.06162945429484057,-0.09098037083943715
reservoir,7,4,0.029878854751587025,-0.11209043860435508
reservoir,7,5,0.010769653320312633,-0.10741221904754657
