analysis,condition,seed,method,weighted_cover_mean,high_risk_cover_max,final_risk_FDE_m,forgetting_risk_fde,cover_residual,forgetting_residual_m
budget,100,7,gss_adapted,0.444212794303894,1.0108639001846311,11.20461082458496,0.2642057418823246,0.006796946128209358,-1.0571623484293613
budget,100,7,h2c_adapted,0.433882862329483,1.0545583963394165,12.657935937245687,1.8809120178222665,-0.003532985846201653,0.5595439275105805
budget,100,7,reservoir,0.41496741771698,1.007671594619751,13.46858819325765,2.696036148071289,-0.02244843045870465,1.3746680577596029
budget,100,11,gss_adapted,0.4525620341300964,1.0539252758026123,11.28252681096395,0.3800895690917961,0.01514618595441175,-0.94127852121989
budget,100,11,h2c_adapted,0.4395033717155456,1.092662334442139,12.166858832041422,1.3286016464233394,0.0020875235398609693,0.007233556111653439
budget,100,11,reservoir,0.4388183057308197,0.9851970076560974,13.433749198913574,2.863319969177246,0.0014024575551350726,1.5419518788655602
budget,100,23,gss_adapted,0.4715001881122589,1.0617157220840454,11.62864112854004,0.7095479965209968,0.03408433993657428,-0.6118200937906892
budget,100,23,h2c_adapted,0.4272941350936889,0.947436511516571,12.040986696879068,1.0903774261474606,-0.01012171308199572,-0.23099066416422542
budget,100,23,reservoir,0.4114687740802765,0.9472550749778748,12.460990746816,1.711504745483398,-0.02594707409540814,0.39013665517171203
budget,100,47,gss_adapted,0.466290533542633,1.105268120765686,11.233986218770346,0.0174898147583004,0.02887468536694837,-1.3038782755533855
budget,100,47,h2c_adapted,0.4231083393096924,0.987069308757782,11.55094067255656,0.3795719146728508,-0.014307508865992247,-0.9417961756388352
budget,100,47,reservoir,0.4253814220428467,1.0229297876358032,13.276320775349935,2.5347600936889654,-0.01203442613283795,1.2133920033772794
budget,250,7,gss_adapted,0.3717965185642242,0.917095184326172,10.990026156107584,-0.0673397064208987,0.010649994015693609,-0.15698459943135612
budget,250,7,h2c_adapted,0.3641296029090881,1.0054749250411987,11.091719150543211,0.190691947937012,0.0029830783605575006,0.1010470549265546
budget,250,7,reservoir,0.3474705517292022,0.8515584468841553,11.380427996317543,0.4441152572631832,-0.013675972819328364,0.35447036425272577
budget,250,11,gss_adapted,0.392378568649292,0.9902018904685974,10.738166809082031,-0.4284250259399414,0.031232044100761414,-0.5180699189503988
budget,250,11,h2c_adapted,0.3604996800422668,0.9500229358673096,11.077280521392822,0.082629203796386,-0.0006468445062637884,-0.007015689214071405
budget,250,11,reservoir,0.3439872860908508,1.0023502111434937,11.421681563059488,0.5263444900512695,-0.017159238457679804,0.43669959704081207
budget,250,23,gss_adapted,0.3768333494663238,0.9432365894317628,10.91117254892985,-0.2380926132202141,0.01568682491779322,-0.3277375062306715
budget,250,23,h2c_adapted,0.3565680980682373,0.9145020842552184,11.265856742858888,0.2617826461791989,-0.004578426480293274,0.17213775316874147
budget,250,23,reservoir,0.3526559472084045,0.9060754179954528,11.493096828460692,0.5194164276123054,-0.008490577340126093,0.429771534601848
budget,250,47,gss_adapted,0.3696475327014923,0.9144436717033386,11.039856751759848,-0.205999374389648,0.008501008152961731,-0.2956442674001054
budget,250,47,h2c_adapted,0.356922447681427,0.9289965629577636,10.987680435180664,-0.270367050170898,-0.004224076867103577,-0.36001194318135543
budget,250,47,reservoir,0.3408687114715576,0.9492601752281188,11.452678203582764,0.260982513427734,-0.02027781307697296,0.17133762041727657
budget,500,7,gss_adapted,0.317796528339386,0.8511481285095215,10.61646032333374,-0.3998739242553711,0.009512479106585203,-0.2983713944753011
budget,500,7,h2c_adapted,0.3093374371528625,0.8530794978141785,10.865115324656168,-0.1904109954833984,0.0010533879200617102,-0.0889084657033284
