example_index,risk_rank,gradient_magnitude_rank,risk_score,gradient_magnitude,high_risk
124,0.88275,0.08525,0.91983765,0.23178487,True
125,0.52225,0.59525,0.5282051,0.7371676,False
126,0.02575,0.61075,0.0014724728,0.76032966,False
127,0.0855,0.8965,0.036322553,1.6898472,False
128,0.1005,0.7065,0.049666043,0.9529804,False
129,0.28075,0.668,0.25104058,0.868841,False
130,0.9395,0.59125,0.9610836,0.7326343,True
131,0.62325,0.60775,0.63864607,0.75636363,True
132,0.425,0.3615,0.40815482,0.4852795,False
133,0.632,0.98025,0.6459799,5.4001727,True
134,0.402,0.504,0.37853375,0.63208145,False
135,0.26375,0.825,0.23177545,1.2915554,False
136,0.848,0.703,0.8878717,0.9413088,True
137,0.78025,0.2265,0.81652075,0.3555204,True
138,0.8675,0.1055,0.90579814,0.2509915,True
139,0.621,0.75,0.63666415,1.0545803,True
140,0.27575,0.73325,0.24520998,1.0130132,False
141,0.57725,0.7655,0.59187037,1.0936375,False
142,0.69925,0.77225,0.7222248,1.1149726,True
143,0.3205,0.80525,0.2937742,1.2158557,False
144,0.83775,0.7125,0.882967,0.9666362,True
145,0.65725,0.2925,0.67678154,0.41414478,True
146,0.2075,0.84225,0.16994435,1.380545,False
147,0.5845,0.46675,0.5983947,0.59275675,False
148,0.21775,0.62825,0.17972328,0.79117846,False
149,0.59,0.6975,0.6039075,0.9270476,False
150,0.67475,0.42975,0.6948861,0.55231243,True
151,0.32875,0.1625,0.30492598,0.30204993,False
152,0.26,0.87025,0.22676203,1.504809,False
153,0.58275,0.473,0.59697604,0.5990762,False
154,0.36775,0.545,0.3496685,0.67670226,False
155,0.26875,0.5625,0.2364871,0.6990754,False
156,0.386,0.53775,0.36457118,0.6674338,False
157,0.12075,0.757,0.07014946,1.0736682,False
158,0.03925,0.12575,0.0059200814,0.27309564,False
159,0.9995,0.3605,0.9998127,0.48354375,True
160,0.801,0.787,0.8428922,1.1567605,True
161,0.46975,0.18,0.46234322,0.31683558,False
162,0.5575,0.59975,0.56983775,0.7441572,False
163,0.37575,0.2015,0.35553822,0.33377185,False
164,0.59475,0.1095,0.60798836,0.2546835,True
165,0.8595,0.48425,0.8993335,0.61181056,True
166,0.728,0.573,0.75706655,0.7140138,True
167,0.69825,0.54025,0.7218214,0.67004776,True
168,0.73,0.543,0.7589909,0.6731495,True
169,0.9185,0.675,0.9488454,0.88176405,True
170,0.927,0.76925,0.9531714,1.1001604,True
171,0.903,0.71475,0.93740463,0.9755907,True
172,0.84925,0.577,0.8893521,0.7183415,True
173,0.04925,0.8635,0.010894228,1.4635848,False
174,0.0645,0.1435,0.020707853,0.2896317,False
175,0.5715,0.55075,0.58652925,0.6849061,False
176,0.565,0.4925,0.58096117,0.61978006,False
177,0.2245,0.441,0.18553618,0.56749004,False
178,0.7835,0.944,0.82022244,2.2739148,True
179,0.40625,0.26225,0.38445634,0.3873704,False
180,0.67575,0.8115,0.69594795,1.2318468,True
181,0.802,0.7735,0.8443669,1.1206267,True
182,0.677,0.49,0.6967887,0.61770487,True
183,0.74375,0.524,0.775496,0.6536428,True
184,0.98,0.372,0.9851459,0.49325848,True
185,0.80775,0.5455,0.8501499,0.67822534,True
186,0.94,0.86725,0.96119523,1.4852371,True
187,0.3055,0.64525,0.279075,0.8260509,False
188,0.2995,0.54375,0.2720163,0.6738895,False
189,0.34775,0.4715,0.327764,0.59816253,False
190,0.76975,0.77025,0.8054595,1.1025778,True
191,0.8735,0.56825,0.91204005,0.70810956,True
192,0.226,0.3285,0.18728086,0.44629,False
193,0.1355,0.992,0.08400733,10.100137,False
194,0.85775,0.50875,0.897511,0.635888,True
195,0.2825,0.83575,0.25302243,1.3430876,False
196,0.16775,0.5905,0.12139839,0.7324138,False
197,0.2515,0.72625,0.2157982,1.000583,False
198,0.9175,0.84575,0.94832987,1.3944417,True
199,0.10625,0.994,0.056089498,10.457418,False
200,0.9365,0.63125,0.9595834,0.79813695,True
201,0.6835,0.98175,0.70410687,5.6562815,True
202,0.89675,0.9905,0.9321246,9.22299,True
203,0.93775,0.8375,0.96000004,1.3558546,True
204,0.678,0.41675,0.69821143,0.5372076,True
205,0.52375,0.43425,0.52973324,0.5578084,False
206,0.76725,0.77575,0.80317587,1.1256019,True
207,0.4575,0.736,0.4499533,1.0210413,False
208,0.112,0.582,0.060858127,0.724533,False
209,0.40325,0.711,0.37908912,0.9646623,False
210,0.83225,0.8005,0.87639594,1.1952578,True
211,0.94075,0.3895,0.96129394,0.51137835,True
212,0.789,0.55525,0.8266576,0.6918177,True
213,0.53925,0.217,0.5482419,0.34701112,False
214,0.416,0.5075,0.39572293,0.6352328,False
215,0.54925,0.55725,0.55841047,0.69445664,False
216,0.4245,0.41975,0.40811124,0.54033035,False
217,0.29975,0.3095,0.27220982,0.42707294,False
218,0.10925,0.65275,0.05938329,0.8400507,False
219,0.09475,0.64325,0.04467565,0.8210856,False
220,0.0295,0.80725,0.002287962,1.2208751,False
221,0.00425,0.837,1.346005e-06,1.355484,False
222,0.8935,0.63675,0.9295255,0.8092934,True
223,0.42175,0.334,0.40587622,0.45274076,False
224,0.97275,0.38725,0.97955734,0.5098442,True
225,0.611,0.24,0.6256679,0.368586,True
226,0.511,0.5185,0.5147361,0.6487275,False
227,0.792,0.521,0.8299899,0.65019214,True
228,0.67625,0.91425,0.6965933,1.8501412,True
229,0.02075,0.71875,0.00069112016,0.98722667,False
230,0.47875,0.65525,0.47733843,0.8451628,False
231,0.956,0.80375,0.9707122,1.209362,True
232,0.54625,0.4155,0.55552065,0.5361406,False
233,0.50075,0.69775,0.50095165,0.9273558,False
234,0.136,0.375,0.08442422,0.4960913,False
235,0.9035,0.59025,0.93817425,0.73235214,True
236,0.5035,0.55975,0.5070492,0.696297,False
237,0.78675,0.27225,0.82473314,0.39617994,True
238,0.9745,0.721,0.98195785,0.99181455,True
239,0.35025,0.52425,0.32978612,0.65369296,False
240,0.099,0.3495,0.047552116,0.47170162,False
241,0.06375,0.226,0.020521667,0.35517955,False
242,0.028,0.353,0.001993418,0.47576818,False
243,0.0595,0.98375,0.017648043,6.1052513,False
244,0.5835,0.33425,0.5976008,0.45311236,False
245,0.553,0.532,0.5640475,0.66130686,False
246,0.41375,0.78325,0.3933189,1.1462357,False
247,0.664,0.69725,0.6835074,0.92678267,True
248,0.44275,0.409,0.43258888,0.53062975,False
249,0.76375,0.53425,0.79888785,0.6638912,True
250,0.55625,0.78525,0.5683795,1.1551709,False
251,0.78625,0.727,0.8239148,1.0023845,True
252,0.323,0.4105,0.2962673,0.5319254,False
253,0.47975,0.7475,0.47770035,1.0486499,False
254,0.401,0.53175,0.37772587,0.6611969,False
255,0.579,0.537,0.5940093,0.6674116,False
256,0.32175,0.99525,0.2944187,11.062054,False
257,0.9985,0.43225,0.9988341,0.5550108,True
258,0.7185,0.255,0.7442786,0.3820798,True
259,0.9785,0.85225,0.9842418,1.4255983,True
260,0.169,0.215,0.123711534,0.3453945,False
261,0.20275,0.66825,0.16286753,0.86921936,False
262,0.71225,0.069,0.7373378,0.21312869,True
263,0.206,0.5975,0.1680979,0.7406074,False
264,0.22325,0.25525,0.18434866,0.3823243,False
265,0.8995,0.22075,0.9347645,0.34961823,True
266,0.724,0.1045,0.753094,0.25041255,True
267,0.8855,0.47025,0.92155343,0.59745675,True
268,0.04725,0.63625,0.009737683,0.80654126,False
269,0.05875,0.14275,0.0173761,0.2888738,False
270,0.875,0.83425,0.91336596,1.3363436,True
271,0.717,0.251,0.7421748,0.3787761,True
272,0.64475,0.48175,0.65993005,0.6083338,True
273,0.36025,0.977,0.342604,4.282071,False
274,0.96425,0.60925,0.9753491,0.75858015,True
275,0.93475,0.38125,0.9577309,0.5013996,True
276,0.813,0.14825,0.85618556,0.29156938,True
277,0.40425,0.2315,0.38094774,0.36069292,False
278,0.10975,0.9925,0.06021763,10.238736,False
279,0.658,0.72275,0.6776312,0.9931106,True
280,0.9865,0.77825,0.98928183,1.132272,True
281,0.97125,0.63225,0.9785354,0.7990042,True
282,0.99475,0.236,0.9950587,0.36537656,True
283,0.791,0.31025,0.8290027,0.42724314,True
284,0.479,0.56075,0.4774372,0.6969397,False
285,0.94025,0.20425,0.96122885,0.33625287,True
286,0.35925,0.87875,0.3419174,1.5607488,False
287,0.11625,0.05075,0.065149896,0.19130354,False
288,0.43475,0.7195,0.42413655,0.9883925,False
289,0.075,0.70075,0.028521484,0.9339238,False
290,0.42725,0.6005,0.4106866,0.74504125,False
291,0.6685,0.98125,0.688148,5.5525107,True
292,0.98475,0.786,0.9879511,1.1558846,True
293,0.773,0.393,0.8084081,0.51435906,True
294,0.541,0.3935,0.5499768,0.5147606,False
295,0.4735,0.688,0.4655723,0.9042152,False
296,0.04125,0.52375,0.0067736073,0.6535393,False
297,0.17225,0.44625,0.1268894,0.5729522,False
298,0.62875,0.296,0.6430656,0.41679347,True
299,0.5245,0.1415,0.5305874,0.28780025,False
300,0.51125,0.8455,0.5147455,1.3929905,False
301,0.53475,0.68575,0.54251754,0.901068,False
302,0.5315,0.24825,0.5395642,0.3749428,False
303,0.81825,0.7875,0.86256444,1.1577563,True
304,0.67825,0.2275,0.69830585,0.35700107,True
305,0.53325,0.1425,0.54023397,0.2888666,False
306,0.276,0.41025,0.2453117,0.53170186,False
307,0.877,0.50975,0.91464466,0.6374391,True
308,0.5185,0.90425,0.52366835,1.748266,False
309,0.765,0.71825,0.8001536,0.9853386,True
310,0.29825,0.455,0.2709441,0.58237714,False
311,0.211,0.1985,0.17324045,0.331135,False
312,0.11825,0.24275,0.0680353,0.3708692,False
313,0.02025,0.1855,0.0006339635,0.32004502,False
314,0.521,0.35975,0.5260112,0.48318157,False
315,0.25225,0.00825,0.21726124,0.12494604,False
316,0.36075,0.3475,0.34370503,0.46799368,False
317,0.71675,0.39075,0.7416166,0.5122131,True
318,0.71575,0.948,0.7404141,2.355,True
319,0.229,0.669,0.18997732,0.8700187,False
320,0.21325,0.4675,0.1752738,0.59418833,False
