method,seed,cpa_minus_50bin,initial_50bin_residual,cpa_minus_nearest_non_cpa,initial_nearest_residual,nearest_initial_mae,nearest_initial_max,cpa_n,unique_donors
cgsm_dual,7,-0.01758444577806036,0.0161363261130834,-0.11365634524206772,0.0494427321133267,0.15127737334313576,15.873196029663086,810.2,513.8
cgsm_dual,11,-0.06062282840717156,0.019487223860530277,-0.2059038331466736,0.04550653869511215,0.14790886557220465,15.528038787841798,810.2,513.0
cgsm_dual,23,-0.023278824615756522,0.022958127632405834,-0.030320892660359318,0.05369246593973061,0.14890626804788853,17.113951110839842,810.2,506.0
cgsm_dual,47,0.10684782610167458,0.005203422732812513,0.1509722371961146,0.046271029854524304,0.1492943131583236,15.850495147705079,810.2,517.0
cgsm_dual,59,-0.006666262094576797,0.004654542691991281,-0.046806584586384294,0.06328211130072559,0.16181067505619368,19.373367309570312,810.2,508.8
cgsm_dual,71,0.0385237222962964,0.006553926656726716,-0.03643038508822457,0.06029770939551654,0.1543923926116951,19.241790771484375,810.2,511.2
cgsm_dual,89,0.05173450730061999,0.012152833590345224,0.07919291154966511,0.04527768759769251,0.1608682362041237,15.432894897460937,810.2,503.8
cgsm_dual,107,0.01964924720795539,-0.003023328643698875,0.03172530133272763,0.060819856165023244,0.1653196930270575,18.13060760498047,810.2,512.4
dualls_adapted,7,0.05541518263925564,0.027768232777862778,0.08861417722512532,0.053022215005725626,0.15773259214770785,15.806439208984376,810.2,519.0
dualls_adapted,11,0.03342872626635997,0.028569002361545158,-0.03466779673745834,0.04141270894946948,0.14326648348645538,14.975428771972656,810.2,512.0
dualls_adapted,23,0.05321081675534832,0.01522112886385223,0.04178534736551083,0.05825124055937033,0.1476957162502956,16.364260864257812,810.2,513.0
dualls_adapted,47,0.10636587529936148,0.01389117254219734,0.226205471417029,0.051083751613299845,0.1489700285673216,15.376882553100586,810.2,515.6
dualls_adapted,59,0.01961279644803878,0.011668552509772567,0.09237527156360363,0.04592947339592962,0.14441680596892834,14.298524093627929,810.2,509.6
dualls_adapted,71,-0.023086814347702662,0.018086276462594596,-0.14406869700354843,0.05635444461480478,0.15510597073625204,17.031128692626954,810.2,511.8
dualls_adapted,89,0.051287881774897806,0.014363223492825839,-0.012362166012158027,0.05401617737196875,0.15403248861218916,17.280130004882814,810.2,519.2
dualls_adapted,107,-0.01388972357410625,0.014370976041847072,-0.08277170426557288,0.05432641793203211,0.16565817055947613,18.50892028808594,810.2,506.6
finetune,7,3.7383272236027514,0.019849295669431655,6.733415913315414,0.050156610493405786,0.1498398097755616,14.884038543701172,810.2,520.8
finetune,11,2.817366313065233,0.014667845691939619,5.3213120971201215,0.04727978303877473,0.14675361738589293,15.275923156738282,810.2,508.2
finetune,23,2.137476189034141,0.014810322344514048,4.186501580079043,0.05355916498510701,0.15321132103236895,15.896302032470704,810.2,505.8
finetune,47,2.6018546703094416,0.0041451263274122855,4.679847320760906,0.05326145134797403,0.14925168930909644,14.439170837402344,810.2,514.4
finetune,59,3.450632927136064,0.01912818637427236,6.679248749958004,0.043458778302057716,0.14517497310346866,15.754557418823243,810.2,512.2
finetune,71,3.557060854421151,0.0227199519857443,6.909655859119333,0.04993422640978462,0.1486600115785364,16.92103691101074,810.2,509.2
finetune,89,2.8968610279230824,0.020816853189069916,5.208297664654898,0.05501137370023822,0.16053857395535698,17.061627197265626,810.2,515.2
finetune,107,3.0498711867369606,0.01897531236593153,5.734812229466137,0.05767370575016504,0.15230679674965286,15.978169631958007,810.2,513.8
gss_adapted,7,0.001750637227781976,0.011897538785683181,0.04078933570705996,0.048543800644501145,0.1506174045973877,14.802788162231446,810.2,518.2
gss_adapted,11,0.08476450239430648,0.02113047707771365,0.07288692433981306,0.044100708405940846,0.14856976305926603,15.160254287719727,810.2,508.6
gss_adapted,23,-0.04340476087110921,0.005153923460446208,-0.0847815024938631,0.0607346455225516,0.14907802735187584,16.210313034057616,810.2,504.8
gss_adapted,47,-0.05390857632283641,0.015183873956064886,-0.21472393242058904,0.0492751061729104,0.15048543981389653,14.314741516113282,810.2,508.8
gss_adapted,59,0.02693053341598345,0.0007511678869978056,-0.08419014276699431,0.060946858339016155,0.15009620149229544,16.338275146484374,810.2,518.8
gss_adapted,71,0.08618325017025155,0.018998645395119595,0.10832459393145208,0.04970151631951078,0.15277314063389255,17.47658500671387,810.2,506.8
gss_adapted,89,0.0119318280196751,0.014759150814243328,-0.029219120353070355,0.05205942769520918,0.1561343346074787,16.558441162109375,810.2,511.4
gss_adapted,107,0.10094746287759229,0.0070006409120523475,0.21491222094972867,0.05348110866962012,0.155328532164435,16.850314712524415,810.2,509.2
reservoir,7,0.18121174417665697,0.03320942065976347,0.3683953486329225,0.05065445974598724,0.1603981235920436,16.140936660766602,810.2,511.6
reservoir,11,0.5325534929144686,0.007421491191777108,1.0622949025873027,0.049016382799048075,0.1424625798114288,15.18559455871582,810.2,514.2
reservoir,23,0.02593781342764472,0.015322636115653054,0.053713680206284274,0.05015889164977429,0.14900561087279496,16.044839477539064,810.2,520.0
reservoir,47,0.18204717490426534,0.010349914169896479,0.37236709885364305,0.048452220270274085,0.15061773632368183,14.148918151855469,810.2,511.8
reservoir,59,-0.006205009029230058,0.01572244224125079,-0.14376572150207134,0.055491185031627976,0.14689221127865723,14.738911437988282,810.2,516.6
reservoir,71,0.11121629608664532,0.026002439889642303,0.1354332601866426,0.057792595366988685,0.15161504164399994,15.492495727539062,810.2,509.2
reservoir,89,0.28028065706237204,0.02399521728897369,0.4633836758878565,0.060386888688765204,0.1612842095205666,20.73994598388672,810.2,509.6
reservoir,107,0.1530814716013944,0.014726496030927549,0.2606226102637432,0.05234698602124345,0.1602662633156646,15.026856994628906,810.2,512.6
