method,seed,task,n,cpa_n,overall,cpa,initial_overall_fde,initial_cpa_fde,random,cpa_minus_random,permutation_p_random,matched,cpa_minus_matched,permutation_p_matched,cpa_minus_overall
finetune,7,baseline,2000,887,7.850540060922503,11.010430844217169,12.746900472715497,12.066066813778043,7.9104844132469365,3.099946430970232,0.000999000999000999,7.971233587560684,3.039197256656484,0.000999000999000999,3.1598907832946654
finetune,7,wind5,2000,986,10.901019306123256,13.50071919185032,11.664018980801105,11.156233129316362,10.935733172295581,2.5649860195547394,0.000999000999000999,11.015862833017561,2.4848563588327597,0.000999000999000999,2.5996998857270643
finetune,7,speed15,2000,702,22.428004644244908,30.466024865367135,9.103629196971655,9.561139192081924,23.427540162980286,7.0384847023868495,0.000999000999000999,23.586678927702067,6.879345937665068,0.000999000999000999,8.038020221122228
finetune,7,alt180,2000,802,-0.07587662908434868,0.3698904320337529,12.082228912711143,11.771962465565103,-0.07685022389199746,0.44674065592575035,0.000999000999000999,-0.055935245774731406,0.4258256778084843,0.000999000999000999,0.44576706111810155
finetune,7,speed10,2000,674,36.80446161842346,45.188538678675805,8.938195125102997,8.776508836434928,36.96463048523368,8.223908193442128,0.000999000999000999,37.286556572332884,7.9019821063429205,0.000999000999000999,8.384077060252345
finetune,11,baseline,2000,887,18.627272356867792,20.561974437892637,12.441253020644188,11.81734153672028,18.850814606915307,1.71115983097733,0.000999000999000999,18.687612701526888,1.8743617363657492,0.000999000999000999,1.9347020810248452
finetune,11,wind5,2000,986,23.157292249292134,25.448023521029683,11.647599465280772,11.205383950145443,23.19694729424639,2.2510762267832938,0.000999000999000999,23.166804168370373,2.28121935265931,0.000999000999000999,2.290731271737549
finetune,11,speed15,2000,702,37.21937826481089,43.475294839919805,9.3961713100411,9.748131792811927,38.36958440356786,5.105710436351941,0.000999000999000999,38.50054506893297,4.974749770986833,0.000999000999000999,6.2559165751089125
finetune,11,alt180,2000,802,0.8819394177645445,1.392449714373472,11.8832954839319,11.568617545681404,0.9341658198167113,0.45828389455676066,0.000999000999000999,0.9452857176479287,0.4471639967255433,0.000999000999000999,0.5105102966089274
finetune,11,speed10,2000,674,56.52694030407071,62.796663152181075,8.314704265326261,8.239403955837385,56.725385645766046,6.071277506415029,0.000999000999000999,56.847607306756174,5.949055845424901,0.000999000999000999,6.269722848110362
finetune,23,baseline,2000,887,11.736808467164636,12.76921868418357,12.94613571678102,12.342026013397982,11.786265349303262,0.9829533348803086,0.000999000999000999,11.732484365355631,1.0367343188279392,0.000999000999000999,1.0324102170189349
finetune,23,wind5,2000,986,14.893630449995399,17.1468645378373,11.759937245383858,11.36859885281288,14.920683546998541,2.226180990838758,0.000999000999000999,14.977292766505725,2.169571771331574,0.000999000999000999,2.2532340878419
finetune,23,speed15,2000,702,35.14492683908343,39.022388913607664,9.234170097142458,9.804328073208827,35.986420105554664,3.035968808052999,0.000999000999000999,35.94262109840162,3.079767815206047,0.000999000999000999,3.8774620745242316
finetune,23,alt180,2000,802,0.8881157340556383,1.5862551095554063,12.047471343919636,11.710145735049485,0.9627358463989432,0.6235192631564631,0.000999000999000999,0.9660918799517788,0.6201632296036275,0.000999000999000999,0.698139375499768
finetune,23,speed10,2000,674,59.95617464125901,65.146624710444,8.425897895209491,8.335060814787974,60.095651518129955,5.050973192314046,0.000999000999000999,60.272451304156526,4.8741734062874755,0.000999000999000999,5.19045006918499
finetune,47,baseline,2000,887,6.922497689247131,8.747581442219563,12.640376070201397,12.007850820141957,7.070243574260789,1.6773378679587738,0.000999000999000999,6.8517026949680355,1.895878747251527,0.000999000999000999,1.8250837529724313
finetune,47,wind5,2000,986,10.468277089893817,12.156820281191482,11.769099604904651,11.368943797254417,10.495926422412664,1.6608938587788185,0.000999000999000999,10.522702862536303,1.6341174186551797,0.000999000999000999,1.688543191297665
finetune,47,speed15,2000,702,24.672338658005,30.16908543801036,9.154329771131277,9.657805686747587,25.609465106361327,4.5596203316490325,0.000999000999000999,25.65070600242066,4.518379435589701,0.000999000999000999,5.49674678000536
finetune,47,alt180,2000,802,0.41771840342879296,0.8128701746463776,11.921193482667208,11.460187443919907,0.46294238740017696,0.3499277872462006,0.000999000999000999,0.4804752451224816,0.332394929523896,0.000999000999000999,0.3951517712175846
finetune,47,speed10,2000,674,44.15324833258987,50.69297714451831,8.355415721803904,8.340245963778976,44.32340053451113,6.369576610007179,0.000999000999000999,44.386913360441355,6.3060637840769544,0.000999000999000999,6.539728811928441
finetune,59,baseline,2000,887,10.309609429761768,13.65371206147426,12.427564240589739,11.804718591886013,10.590848445151252,3.0628636163230087,0.000999000999000999,10.564966266476633,3.088745794997628,0.000999000999000999,3.3441026317124933
finetune,59,wind5,2000,986,15.298167879730464,17.717797045261573,11.614742497116326,11.119105708073167,15.343702737029822,2.3740943082317507,0.000999000999000999,15.376853388448387,2.3409436568131863,0.000999000999000999,2.4196291655311093
