method,seed,task,initial_cpa,initial_matched,initial_residual_m,standardized_residual
finetune,7,baseline,12.06606674194336,12.330600118959635,-0.2645333770162761,-0.022818971052572072
finetune,7,wind5,11.156232833862305,11.436679716888838,-0.2804468830265332,-0.022892628629229406
finetune,7,speed15,9.561139106750488,9.42161067836305,0.13952842838743784,0.020310500367570705
finetune,7,alt180,11.771963119506836,11.979523757746689,-0.20756063823985293,-0.019843794239363406
finetune,7,speed10,8.776509284973145,8.886079105142317,-0.10956982016917216,-0.0174322543024957
finetune,11,baseline,11.817341804504395,12.046919969453349,-0.2295781649489541,-0.021030337716057206
finetune,11,wind5,11.205384254455566,11.505428595426842,-0.30004434097127586,-0.024533731334398467
finetune,11,speed15,9.74813175201416,9.61255111313953,0.13558063887463057,0.019921474416100923
finetune,11,alt180,11.568617820739746,11.850833144271165,-0.2822153235314193,-0.027145055847577575
finetune,11,speed10,8.23940372467041,8.300572148947051,-0.06116842427664082,-0.010125627057208906
finetune,23,baseline,12.342025756835938,12.569041663119329,-0.2270159062833912,-0.01964311432674148
finetune,23,wind5,11.368598937988281,11.686061613337264,-0.31746267534898287,-0.025364532363206377
finetune,23,speed15,9.804327011108398,9.719850426725513,0.08447658438288563,0.011901534076643289
finetune,23,alt180,11.710145950317383,11.907933750057458,-0.197787799740075,-0.01878435270529469
finetune,23,speed10,8.335061073303223,8.391326820461261,-0.05626574715803834,-0.009556864651079274
finetune,47,baseline,12.007850646972656,12.24287388343553,-0.23502323646287415,-0.022038406929862874
finetune,47,wind5,11.368943214416504,11.650386399719826,-0.28144318530332235,-0.022500977991120715
finetune,47,speed15,9.657805442810059,9.52759503995591,0.1302104028541482,0.018520551161647563
finetune,47,alt180,11.460186958312988,11.703662729025481,-0.24347577071249304,-0.02334989511876697
finetune,47,speed10,8.340246200561523,8.441567818913333,-0.1013216183518093,-0.01656048087521864
finetune,59,baseline,11.804718017578125,12.038249291588784,-0.23353127401065876,-0.021271000537778948
finetune,59,wind5,11.119105339050293,11.346459963863326,-0.22735462481303337,-0.018607402813445743
finetune,59,speed15,9.820688247680664,9.642234089028122,0.1784541586525421,0.026471491026462967
finetune,59,alt180,11.684600830078125,11.941235554188564,-0.2566347241104392,-0.02535165395309348
finetune,59,speed10,8.354255676269531,8.409223367269385,-0.05496769099985421,-0.009089991757798172
finetune,71,baseline,11.923338890075684,12.186003287454065,-0.26266439737838176,-0.023561809691923126
finetune,71,wind5,11.105544090270996,11.368723212826325,-0.2631791225553286,-0.021384822817336488
finetune,71,speed15,9.771063804626465,9.672375500881435,0.09868830374503013,0.01489225745442598
