method,seed,task,cpa_minus_50bin,initial_50bin_residual,cpa_minus_nearest_non_cpa,initial_nearest_residual,nearest_initial_mae,nearest_initial_max,cpa_n,unique_donors
finetune,7,baseline,2.849685843112585,-0.019275769056282144,5.3771368726466395,0.045547595522718205,0.15193338132764736,14.582221984863281,887,543
finetune,7,wind5,2.268432255281109,-0.011151435624066508,5.162236038376303,0.0038252072692159223,0.1482614260053538,4.298088073730469,986,559
finetune,7,speed15,6.2269298067677,0.11116779213582717,10.388072421662828,0.16199801391006535,0.23242220927847076,43.46707534790039,702,507
finetune,7,alt180,0.4085629655837385,0.007653914389040395,0.768649960768193,0.013777205102758813,0.12322013314228106,3.8018569946289062,802,504
finetune,7,speed10,6.938025247268627,0.01085197650263936,11.970984273123104,0.02563503066227061,0.09336189912405495,8.270950317382812,674,491
finetune,11,baseline,1.5869591941089745,-0.018886251948826427,3.6628670611134244,0.03708979463899821,0.13294441744332383,16.46881103515625,887,524
finetune,11,wind5,1.9683244961027384,-0.005771573471994529,5.013478298095371,0.008417447125935893,0.14276448297210445,4.438941955566406,986,565
finetune,11,speed15,4.667742849806189,0.10834630275939006,8.172453179530947,0.16728797712047555,0.23629836466407503,43.47210693359375,702,465
finetune,11,alt180,0.4553060346551283,-0.029710770393645447,0.6708639580709976,-0.0013213119750605557,0.1354681958730084,5.413185119628906,802,508
finetune,11,speed10,5.408498990653136,0.019361521514774438,9.086897988789866,0.024925008283524556,0.08629262597695303,6.586570739746094,674,479
finetune,23,baseline,0.7639946839155289,-0.005566231340369043,1.9527971418962942,0.045002241447786334,0.1342405893555354,17.61931610107422,887,519
finetune,23,wind5,1.9985881679434438,0.00978450102183892,4.768772902310983,0.0019399320317572077,0.16225427035506793,4.2298126220703125,986,532
finetune,23,speed15,2.9683842718261246,0.06346396552966027,5.301584489197812,0.17102799367191446,0.24725419889997552,44.33464050292969,702,484
finetune,23,alt180,0.5844365578934143,-0.026931272694223907,1.3306732546733204,0.004705922524827971,0.12546539949508675,3.9574050903320312,802,516
finetune,23,speed10,4.371977263592193,0.033300649205664,7.578680112316807,0.045119735249249095,0.09684214705617916,9.340335845947266,674,478
finetune,47,baseline,1.6643567607130745,-0.05640759594671785,3.6197331203011274,0.027662878509573094,0.11647318436301145,9.910396575927734,887,521
finetune,47,wind5,1.4828498868531454,0.009039158016475923,3.7041168635442823,0.005489957562324725,0.16167120880335872,5.281646728515625,986,549
finetune,47,speed15,4.020441608527289,0.06383523218273268,6.482421114998326,0.17645149616434364,0.2491545881810691,44.32635498046875,702,498
finetune,47,alt180,0.3273074155808238,-0.011739651823361896,0.4144386023728925,0.020497978179532098,0.12483872766803922,4.804897308349609,802,519
finetune,47,speed10,5.514317679872875,0.015998489207932565,9.178526902587903,0.03620494632409659,0.09412073753000368,7.87255859375,674,485
finetune,59,baseline,2.9200888652094363,-0.0006660387540957657,5.7772043864447475,0.0362487662806183,0.13646554668027627,18.12615966796875,887,549
finetune,59,wind5,2.158332942533864,0.002228747523771446,4.4879755820875,0.0009410925980271964,0.1492933817736759,5.168060302734375,986,555
finetune,59,speed15,5.617259399840503,0.05190288500870999,10.236913672730624,0.15202091033557202,0.23554911099353068,42.28896141052246,702,474
finetune,59,alt180,0.5191360261065355,0.020141990544125576,1.096842658081257,-0.008028620050435054,0.1058829041787811,2.921283721923828,802,510
finetune,59,speed10,6.038347401989981,0.022033347548850557,11.797307450445894,0.03611174234650609,0.09868392189107945,10.268321990966797,674,473
finetune,71,baseline,2.472687985250932,-0.028794990135265763,5.055895790104936,0.03509082714895788,0.1309655547948405,17.878997802734375,887,534
finetune,71,wind5,2.3838751050302847,-0.0094878924766153,6.200344646557349,-0.0021694423460815308,0.14564315663389937,4.573261260986328,986,545
finetune,71,speed15,5.258405143783559,0.10313453582473642,9.635392624131295,0.16091838721026722,0.2424586052313829,44.35693168640137,702,477
finetune,71,alt180,0.5979823031124787,0.020291931265104424,1.2811411164347966,0.007772685323570137,0.12881136486803801,4.7894134521484375,802,503
finetune,71,speed10,7.072353734928498,0.028456175450761734,12.375505118368288,0.04805867471220939,0.09542137636452118,13.006580352783203,674,487
finetune,89,baseline,2.3054793245761207,-0.03029052658049558,5.054214289115811,0.0392873246882115,0.14339230952967114,17.762954711914062,887,536
finetune,89,wind5,1.2024289881016834,-0.008816216462976811,2.525170085774111,0.022220929408291047,0.15927363688817614,5.185272216796875,986,556
finetune,89,speed15,5.017359455253896,0.11285164599657449,8.580230913780353,0.1726250280002583,0.25367973417977663,40.74140548706055,702,486
finetune,89,alt180,0.5402812946523874,-0.017929975012815902,1.1192987061795452,-0.0069357757259188154,0.13654851839132143,3.9665565490722656,802,518
finetune,89,speed10,5.4187560770313254,0.04826933800506339,8.76257432842467,0.04785936213034905,0.10979867078783957,17.651947021484375,674,480
finetune,107,baseline,2.5741700124681794,-0.02038067348386363,5.530801562791881,0.0271618785053122,0.1530011614622903,14.989051818847656,887,530
finetune,107,wind5,1.6922246914117602,-0.0002162680948387674,3.9690849134211126,0.023085048788701303,0.15271692319525668,5.672355651855469,986,563
finetune,107,speed15,5.311521117078453,0.09180723471156149,9.424983317780699,0.18195674315816657,0.23488291028218392,44.79743003845215,702,470
finetune,107,alt180,0.22984825540345052,-0.01233864460465206,0.2843835987057769,0.011116429903263463,0.12798683951025888,3.9139976501464844,802,524
finetune,107,speed10,5.441591857322962,0.036004913301450614,9.464807754631213,0.045048428395381666,0.09294614929827455,10.518013000488281,674,482
reservoir,7,baseline,0.2146075208395582,-0.019275769056282144,0.4159044459747757,0.045547595522718205,0.15193338132764736,14.582221984863281,887,543
reservoir,7,wind5,0.0415203395112233,0.024887551439988442,0.0476884258264944,-0.011906841161526724,0.16725867726739957,4.2176055908203125,986,545
reservoir,7,speed15,0.36070682195254933,0.1181508194137475,0.5294438839977623,0.1755263951853809,0.24428621142508297,42.45433044433594,702,479
reservoir,7,alt180,0.12083089473249845,0.015946750935697196,0.41489340978073064,0.015561382186383083,0.1319419665452548,5.350765228271484,802,521
reservoir,7,speed10,0.16839314384745555,0.02633775056566634,0.4340465775848496,0.028543766996980774,0.10657038139483342,14.099760055541992,674,470
reservoir,11,baseline,0.7211568630971528,-0.018886251948826427,1.500953327574617,0.03708979463899821,0.13294441744332383,16.46881103515625,887,524
reservoir,11,wind5,0.2274205000534532,-0.006368522268502375,0.5803085304418877,-0.003650760614364191,0.14389711019958976,3.5659103393554688,986,550
reservoir,11,speed15,0.867945141567149,0.05646524377108264,1.605281148434874,0.1748625090149393,0.22739172126153256,44.022565841674805,702,491
reservoir,11,alt180,0.47226406352086714,-0.02673683985191566,0.9725869013707239,-0.00022776272528783937,0.11075686293647176,3.8616905212402344,802,517
reservoir,11,speed10,0.37398089633372067,0.03263382625704736,0.6523446051144105,0.03700813368095489,0.09732278721622614,8.008995056152344,674,489
reservoir,23,baseline,-0.02724388584244486,-0.005566231340369043,-0.011074282203747428,0.045002241447786334,0.1342405893555354,17.61931610107422,887,519
reservoir,23,wind5,-0.11143590230821586,-0.00032136333763332914,-0.3101849150343309,0.0030528588058015152,0.1483699611065112,3.6432647705078125,986,557
reservoir,23,speed15,0.15177737131496827,0.07696514720105263,0.2544795261998462,0.1740123112486978,0.24471956211277562,42.615692138671875,702,492
reservoir,23,alt180,0.009789696316431173,-0.009879949875019278,0.12006185941416724,-0.0018882787510046638,0.12347645507637699,7.425445556640625,802,538
reservoir,23,speed10,0.10680178765748487,0.015415577930234292,0.21528621265548628,0.03061532549759047,0.09422148671277553,8.920478820800781,674,494
reservoir,47,baseline,0.05195415444496518,-0.05640759594671785,0.04736146166198283,0.027662878509573094,0.11647318436301145,9.910396575927734,887,521
reservoir,47,wind5,-0.09716987307584496,-0.000914938934997167,-0.19863622848692578,0.00556693835142418,0.17612304509774182,6.618415832519531,986,534
